7252C_XX	7253C_XX	7271C_XX	7273D_XX	7348C_XXY	7349C_XXY	7383C_XX	7464C_XXY	7508C_XX	7516C_XXY
WDR13	NA	NA	NA	0.5	NA	NA	0.744239631336405	NA	NA	NA
WDR44	0.793665158371041	NA	0.72109173126615	NA	NA	NA	NA	NA	0.716957364341085	0.869954902279917
WDR45	NA	NA	0.75	NA	NA	NA	NA	NA	NA	NA
WWC3	NA	NA	0.952380952380952	NA	0.679425837320574	0.941176470588235	0.89031862745098	0.8125	0.8	0.768817204301075
XG	0.811496827174319	NA	0.648247451473258	NA	NA	0.88135593220339	0.932558139534884	0.714285714285714	0.825853174603175	0.714285714285714
XIAP	0.692349552356504	0.875	0.889337365914565	0.80442814181594	0.789742745682476	NA	NA	0.830807336095542	0.434681145185347	0.762432499591601
XIST	0.398622342018568	NA	0.250341997264022	0.369999275981089	0.888888888888889	NA	0.085917312661499	0.176470588235294	0.288242186663239	0.274051380718047
XPNPEP2	NA	0.375	0.75	NA	NA	NA	NA	0.705882352941177	0.658333333333333	NA
YIPF6	0.892857142857143	0.777777777777778	0.957446808510638	NA	NA	NA	NA	NA	NA	NA
YY2	NA	NA	0.5	0.625	NA	NA	NA	NA	NA	NA
ZBED1	0.79692954023778	NA	NA	0.812833649090959	NA	NA	0.892251194739936	NA	0.844971397008353	NA
ZBTB33	NA	NA	NA	0.854166666666667	0.751885369532428	NA	NA	0.709677419354839	NA	NA
ZDHHC9	NA	0.816901408450704	1	NA	NA	NA	0.955555555555556	NA	0.905191609047228	NA
ZFX	0.698758859604448	0.819179894179894	0.768844756866578	0.709725464190981	0.777052898773808	NA	0.51959205582394	0.517241379310345	0.810395622895623	0.736841932010631
ZMYM3	NA	NA	0.964285714285714	NA	NA	NA	NA	NA	NA	NA
ZNF185	0.78406432748538	0.258080808080808	0.639194139194139	0.62857251444208	NA	NA	NA	NA	NA	NA
ZNF275	NA	0.793103900151586	0.618021503032945	NA	0.647525252525252	NA	NA	0.878218306020689	0.899321380374012	0.833333333333333
ZNF280C	NA	NA	NA	0.604166666666667	0.583333333333333	NA	NA	NA	0.651709401709402	NA
ZNF41	NA	0.947368421052632	0.954545454545455	NA	0.686936936936937	NA	NA	0.65	NA	0.615384615384615
ZNF449	NA	0.65	0.791176470588235	NA	NA	NA	NA	0.8	NA	0.764705882352941
ZNF674	NA	NA	NA	NA	NA	NA	0.428571428571429	NA	NA	NA
ZNF75D	NA	0.617777777777778	0.680963230587291	0.734803921568628	NA	NA	0.894736842105263	NA	NA	NA
ZNF81	NA	0.571428571428571	0.5	NA	NA	NA	0.555555555555556	0.606349206349206	NA	0.545454545454545
ZRSR2	NA	0.5	0.820952380952381	NA	1	NA	0.794871794871795	NA	0.925925925925926	0.807692307692308
ZXDB	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
