Gene	gene_id	chr	start	stop	type	gene_name.84	gene_id.84	gene_type.84	gnomAD_transcript	exp_lof	oe_lof	LOEUF	homozygous_lof	Huang_pHI	RVIS	Gene_Avg_PCT
ASB14	ENSG00000239388	chr3	57268342	57292685	protein_coding	ASB14	ENSG00000239388	protein_coding	ENST00000487349	23.919	1.2543	1.691	FALSE	0.258338346	NA	0.0623333333333333
ASB15	ENSG00000146809	chr7	123567010	123639481	protein_coding	ASB15	ENSG00000146809	protein_coding	ENST00000451558	26.251	0.91426	1.286	TRUE	0.249466416	1.156012737	0.0744545454545455
ASB16	ENSG00000161664	chr17	44170447	44179084	protein_coding	ASB16	ENSG00000161664	protein_coding	ENST00000293414	20.471	1.1235	1.587	TRUE	0.091388506	2.196267354	0.0114
ASB17	ENSG00000154007	chr1	75918873	75932404	protein_coding	ASB17	ENSG00000154007	protein_coding	ENST00000284142	10.304	0.87342	1.511	FALSE	0.194116066	-0.044114819	NA
ASB18	ENSG00000182177	chr2	236194872	236264409	protein_coding	ASB18	ENSG00000182177	protein_coding	ENST00000409749	10.891	1.01	1.641	FALSE	0.027852913	NA	0.0055625
ASB2	ENSG00000100628	chr14	93934166	93976739	protein_coding	ASB2	ENSG00000100628	protein_coding	ENST00000555019	27.717	0.86589	1.218	FALSE	0.131824124	1.18303854	0.000333333333333333
ASB3	ENSG00000115239	chr2	53532672	53860160	protein_coding	ASB3	ENSG00000115239	protein_coding	ENST00000406625	25.691	0.58387	0.899	FALSE	NA	0.0881819	0.0915714285714286
ASB4	ENSG00000005981	chr7	95478444	95540233	protein_coding	ASB4	ENSG00000005981	protein_coding	ENST00000325885	17.175	0.93161	1.414	FALSE	0.113591299	0.377936481	0.040037037037037
ASB5	ENSG00000164122	chr4	176213673	176277571	protein_coding	ASB5	ENSG00000164122	protein_coding	ENST00000296525	18.584	1.0224	1.498	FALSE	0.082309685	-0.127683555	0.0297777777777778
ASB6	ENSG00000148331	chr9	129634604	129642169	protein_coding	ASB6	ENSG00000148331	protein_coding	ENST00000277458	13.541	0.51696	0.971	FALSE	0.071590826	-0.401662804	0.0575263157894737
ASB7	ENSG00000183475	chr15	100602589	100651701	protein_coding	ASB7	ENSG00000183475	protein_coding	ENST00000332783	16.965	0.058946	0.28	FALSE	0.281606168	-0.537715224	0.220064516129032
ASB8	ENSG00000177981	chr12	48147789	48181213	protein_coding	ASB8	ENSG00000177981	protein_coding	ENST00000317697	10.861	0.7366	1.327	TRUE	0.328807296	-0.166731864	0.0106666666666667
ASB9	ENSG00000102048	chrX	15235288	15270467	protein_coding	ASB9	ENSG00000102048	protein_coding	ENST00000380488	8.2118	0.12178	0.578	FALSE	0.016723091	-0.215796792	0.00025
ASCC1	ENSG00000138303	chr10	72096032	72217134	protein_coding	ASCC1	ENSG00000138303	protein_coding	ENST00000342444	23.858	0.92213	1.317	FALSE	0.222973641	0.174097518	0.0511190476190476
ASCC2	ENSG00000100325	chr22	29788609	29838304	protein_coding	ASCC2	ENSG00000100325	protein_coding	ENST00000397771	40.852	0.26926	0.446	FALSE	0.130819121	0.155813777	0.099
ASCC3	ENSG00000112249	chr6	100508194	100881372	protein_coding	ASCC3	ENSG00000112249	protein_coding	ENST00000369162	121.31	0.4534	0.568	FALSE	0.710572602	-2.765597245	0.0854444444444444
ASCL1	ENSG00000139352	chr12	102957674	102960513	protein_coding	ASCL1	ENSG00000139352	protein_coding	ENST00000266744	7.9726	0.12543	0.595	FALSE	0.898371145	-0.259984232	0.0866666666666667
ASCL2	ENSG00000183734	chr11	2268498	2270588	protein_coding	ASCL2	ENSG00000183734	protein_coding	ENST00000331289	0.58645	0	1.819	FALSE	0.026658976	NA	0.0431666666666667
ASCL3	ENSG00000176009	chr11	8937579	8938211	protein_coding	ASCL3	ENSG00000176009	protein_coding	ENST00000325884	4.3103	0.696	1.649	FALSE	0.117246772	0.217056434	NA
ASCL4	ENSG00000187855	chr12	107774704	107776644	protein_coding	ASCL4	ENSG00000187855	protein_coding	ENST00000342331	4.019	0.99528	1.831	FALSE	0.01131851	NA	0.003
ASCL5	ENSG00000232237	chr1	201113943	201127184	protein_coding	ASCL5	ENSG00000232237	protein_coding	NA	NA	NA	NA	FALSE	0.011989077	NA	0.0261428571428571
ASDURF	ENSG00000286053	chr2	189661452	189666437	protein_coding	NA	ENSG00000286053	NA	NA	NA	NA	NA	FALSE	NA	NA	NA
ASF1A	ENSG00000111875	chr6	118894152	118909171	protein_coding	ASF1A	ENSG00000111875	protein_coding	ENST00000229595	9.7716	0.10234	0.485	FALSE	0.970449874	-0.119244784	0.229052631578947
ASF1B	ENSG00000105011	chr19	14119512	14136613	protein_coding	ASF1B	ENSG00000105011	protein_coding	ENST00000263382	8.4562	0.8278	1.531	FALSE	0.250445793	-0.257797899	0.126
ASGR1	ENSG00000141505	chr17	7173431	7179564	protein_coding	ASGR1	ENSG00000141505	protein_coding	ENST00000269299	16.418	1.2182	1.737	FALSE	0.022748466	-0.634093577	0.024
ASGR2	ENSG00000161944	chr17	7101322	7115700	protein_coding	ASGR2	ENSG00000161944	protein_coding	ENST00000380952	14.245	0.98281	1.53	FALSE	0.003649861	0.008523594	0
ASH1L	ENSG00000116539	chr1	155335268	155563162	protein_coding	ASH1L	ENSG00000116539	protein_coding	ENST00000392403	125.32	0.023938	0.062	FALSE	0.352129967	-3.88480184	0.238785714285714
ASH2L	ENSG00000129691	chr8	38105493	38144076	protein_coding	ASH2L	ENSG00000129691	protein_coding	ENST00000343823	36.324	0.082591	0.213	FALSE	0.428566452	-0.297005919	0.0822666666666667
ASIC1	ENSG00000110881	chr12	50057548	50083611	protein_coding	ASIC1	ENSG00000110881	protein_coding	ENST00000228468	30.521	0.16382	0.344	FALSE	0.372226278	-1.217392578	0.293
ASIC2	ENSG00000108684	chr17	33013087	34174964	protein_coding	ASIC2	ENSG00000108684	protein_coding	ENST00000225823	24.769	0.040373	0.192	FALSE	0.867321872	-1.280663385	0.231875
ASIC3	ENSG00000213199	chr7	151048292	151052756	protein_coding	ASIC3	ENSG00000213199	protein_coding	ENST00000297512	27.91	0.53745	0.828	FALSE	0.064485136	0.605053345	NA
ASIC4	ENSG00000072182	chr2	219514170	219538772	protein_coding	ASIC4	ENSG00000072182	protein_coding	ENST00000347842	25.591	0.35169	0.614	FALSE	0.158324569	0.058033565	0.0288571428571429
ASIC5	ENSG00000256394	chr4	155829729	155866277	protein_coding	ASIC5	ENSG00000256394	protein_coding	ENST00000537611	22.117	0.94949	1.367	FALSE	0.031479338	0.186743878	0
ASIP	ENSG00000101440	chr20	34194569	34269344	protein_coding	ASIP	ENSG00000101440	protein_coding	ENST00000568305	4.6468	0.6456	1.576	FALSE	0.057833948	0.107249158	0
ASL	ENSG00000126522	chr7	66075800	66094697	protein_coding	ASL	ENSG00000126522	protein_coding	ENST00000304874	29.79	0.63779	0.936	FALSE	0.442057983	-0.505538856	0.008
ASMT	ENSG00000196433	chrX	1615059	1643081	protein_coding	ASMT	ENSG00000196433	protein_coding	ENST00000381241	15.833	1.579	1.934	TRUE	0.002201059	1.541090914	0
ASMTL	ENSG00000169093	chrX	1403139	1453762	protein_coding	ASMTL	ENSG00000169093	protein_coding	ENST00000381317	26.771	0.67236	0.997	FALSE	0.001996891	1.457504367	0
ASNS	ENSG00000070669	chr7	97851677	97872542	protein_coding	ASNS	ENSG00000070669	protein_coding	ENST00000175506	27.92	0.46561	0.74	FALSE	0.144831856	-0.768119824	0
ASNSD1	ENSG00000138381	chr2	189661385	189670831	protein_coding	ASNSD1	ENSG00000138381	protein_coding	ENST00000260952	22.943	1.0461	1.47	FALSE	0.111521978	-0.506321076	0.0165
ASPA	ENSG00000108381	chr17	3472374	3503405	protein_coding	ASPA	ENSG00000108381	protein_coding	ENST00000263080	11.96	0.58528	1.099	FALSE	0.191557197	0.491657364	0.00889189189189189
ASPDH	ENSG00000204653	chr19	50511600	50514690	protein_coding	ASPDH	ENSG00000204653	protein_coding	ENST00000389208	12.005	0.83297	1.409	FALSE	0.011680011	0.155356864	NA
ASPG	ENSG00000166183	chr14	104085686	104115582	protein_coding	ASPG	ENSG00000166183	protein_coding	ENST00000551177	27.553	0.79845	1.14	FALSE	0.008786822	0.921221154	0
ASPH	ENSG00000198363	chr8	61500556	61714640	protein_coding	ASPH	ENSG00000198363	protein_coding	ENST00000379454	50.982	0.60806	0.821	FALSE	0.124407055	-0.375591956	0.175588235294118
ASPHD1	ENSG00000174939	chr16	29900375	29919864	protein_coding	ASPHD1	ENSG00000174939	protein_coding	ENST00000308748	11.895	0.50443	0.996	FALSE	0.262036934	-0.803423106	0.0435
ASPHD2	ENSG00000128203	chr22	26429260	26445015	protein_coding	ASPHD2	ENSG00000128203	protein_coding	ENST00000215906	14.345	0.20913	0.541	FALSE	0.0628067	-0.808733968	0.218133333333333
ASPM	ENSG00000066279	chr1	197084121	197146694	protein_coding	ASPM	ENSG00000066279	protein_coding	ENST00000367409	166.09	0.63219	0.743	FALSE	0.161871432	0.345649059	0.076
ASPN	ENSG00000106819	chr9	92456205	92482506	protein_coding	ASPN	ENSG00000106819	protein_coding	ENST00000375544	17.478	0.74378	1.182	FALSE	0.415784887	NA	0.04925
ASPRV1	ENSG00000244617	chr2	69960089	69961631	protein_coding	ASPRV1	ENSG00000244617	protein_coding	ENST00000320256	7.0711	0.56568	1.288	FALSE	0.141335736	0.201899464	0.0055
ASPSCR1	ENSG00000169696	chr17	81976807	82017406	protein_coding	ASPSCR1	ENSG00000169696	protein_coding	ENST00000306729	33.741	0.68166	0.966	TRUE	0.049924579	-0.566621852	0.0257777777777778
ASRGL1	ENSG00000162174	chr11	62337448	62393412	protein_coding	ASRGL1	ENSG00000162174	protein_coding	ENST00000415229	10.34	0.77368	1.391	FALSE	0.018656675	-0.044896789	0.020952380952381
ASS1	ENSG00000130707	chr9	130444961	130501274	protein_coding	ASS1	ENSG00000130707	protein_coding	ENST00000372394	27.133	0.66341	0.984	FALSE	0.463790404	-0.376826521	0.039
ASTE1	ENSG00000034533	chr3	131013875	131027649	protein_coding	ASTE1	ENSG00000034533	protein_coding	ENST00000264992	22.409	0.75863	1.138	FALSE	0.04522067	0.408705503	0
ASTL	ENSG00000188886	chr2	96122818	96138502	protein_coding	ASTL	ENSG00000188886	protein_coding	ENST00000342380	17.169	0.69895	1.132	FALSE	0.007847464	0.781256921	NA
ASTN1	ENSG00000152092	chr1	176857302	177164973	protein_coding	ASTN1	ENSG00000152092	protein_coding	ENST00000361833	62.024	0.11286	0.212	FALSE	0.715350149	-1.020001307	0.0877727272727273
ASTN2	ENSG00000148219	chr9	116423112	117415070	protein_coding	ASTN2	ENSG00000148219	protein_coding	ENST00000361209	58.57	0.13659	0.246	FALSE	0.952118309	-1.592741532	0.0263090909090909
ASXL1	ENSG00000171456	chr20	32358330	32439319	protein_coding	ASXL1	ENSG00000171456	protein_coding	ENST00000375687	52.66	0.58868	0.794	FALSE	0.399812505	-0.483578391	0.111173913043478
ASXL2	ENSG00000143970	chr2	25733753	25878487	protein_coding	ASXL2	ENSG00000143970	protein_coding	ENST00000435504	53.152	0.056442	0.146	FALSE	0.14431819	NA	0.240679245283019
ASXL3	ENSG00000141431	chr18	33578219	33751195	protein_coding	ASXL3	ENSG00000141431	protein_coding	ENST00000269197	72.572	0.11024	0.199	FALSE	0.548869749	-1.329796683	0.246617021276596
ASZ1	ENSG00000154438	chr7	117363222	117428123	protein_coding	ASZ1	ENSG00000154438	protein_coding	ENST00000284629	26.521	0.64101	0.961	FALSE	0.141301236	0.25453764	0.0133333333333333
ATAD1	ENSG00000138138	chr10	87751512	87841361	protein_coding	ATAD1	ENSG00000138138	protein_coding	ENST00000308448	19.154	0.41767	0.754	FALSE	0.531106592	-0.348864129	0.120631578947368
ATAD2	ENSG00000156802	chr8	123319850	123416350	protein_coding	ATAD2	ENSG00000156802	protein_coding	ENST00000287394	75.76	0.17159	0.273	FALSE	0.385074539	-1.916300909	0.175636363636364
ATAD2B	ENSG00000119778	chr2	23748664	23927123	protein_coding	ATAD2B	ENSG00000119778	protein_coding	ENST00000238789	67.834	0.07371	0.155	FALSE	0.391776234	-0.598954591	0.318157894736842
ATAD3A	ENSG00000197785	chr1	1512162	1534685	protein_coding	ATAD3A	ENSG00000197785	protein_coding	ENST00000378755	33.718	0.5635	0.827	FALSE	0.041035671	1.057439959	0.00425
ATAD3B	ENSG00000160072	chr1	1471765	1497848	protein_coding	ATAD3B	ENSG00000160072	protein_coding	ENST00000308647	29.105	1.0995	1.477	TRUE	0.006294034	2.490540243	0.00375
ATAD3C	ENSG00000215915	chr1	1449689	1470163	protein_coding	ATAD3C	ENSG00000215915	protein_coding	ENST00000378785	19.669	0.76263	1.174	TRUE	0.007544174	2.216581768	0.000142857142857143
ATAD5	ENSG00000176208	chr17	30831966	30895869	protein_coding	ATAD5	ENSG00000176208	protein_coding	ENST00000321990	75.407	0.11935	0.208	FALSE	0.264597723	-0.732568528	0.00433333333333333
ATAT1	ENSG00000137343	chr6	30626842	30646823	protein_coding	ATAT1	ENSG00000137343	protein_coding	ENST00000330083	29.779	0.53729	0.816	FALSE	0.241532704	-0.048645144	0.144
ATCAY	ENSG00000167654	chr19	3879864	3928082	protein_coding	ATCAY	ENSG00000167654	protein_coding	ENST00000450849	20.506	0.19506	0.446	FALSE	0.042905765	-0.721413257	0.073741935483871
ATE1	ENSG00000107669	chr10	121740424	121928492	protein_coding	ATE1	ENSG00000107669	protein_coding	ENST00000369043	32.782	0.27454	0.479	FALSE	0.12976795	-0.038964164	0.0771818181818182
ATF1	ENSG00000123268	chr12	50763710	50821162	protein_coding	ATF1	ENSG00000123268	protein_coding	ENST00000262053	16.253	0.18458	0.477	FALSE	0.419687385	0.076317513	0.135071428571429
ATF2	ENSG00000115966	chr2	175072250	175168382	protein_coding	ATF2	ENSG00000115966	protein_coding	ENST00000264110	27.445	0.10931	0.283	FALSE	0.958313807	-0.518970077	0.209692307692308
ATF3	ENSG00000162772	chr1	212565334	212620777	protein_coding	ATF3	ENSG00000162772	protein_coding	ENST00000341491	8.6792	0.34566	0.893	FALSE	0.878956105	0.193002761	0.118714285714286
ATF4	ENSG00000128272	chr22	39519695	39522683	protein_coding	ATF4	ENSG00000128272	protein_coding	ENST00000337304	8.3851	0.47704	1.091	FALSE	0.396217257	0.559288457	NA
ATF5	ENSG00000169136	chr19	49928702	49933935	protein_coding	ATF5	ENSG00000169136	protein_coding	ENST00000423777	8.0675	0.24791	0.78	FALSE	0.036517544	0.48790947	0.0493571428571429
ATF6	ENSG00000118217	chr1	161766298	161977574	protein_coding	ATF6	ENSG00000118217	protein_coding	ENST00000367942	36.552	0.46509	0.698	FALSE	0.320298826	-0.811861727	0.0795777777777778
ATF6B	ENSG00000213676	chr6	32115264	32128253	protein_coding	ATF6B	ENSG00000213676	protein_coding	ENST00000375203	36.443	0.46648	0.7	FALSE	0.118552355	0.000864996	0.082125
ATF7	ENSG00000170653	chr12	53507856	53626410	protein_coding	ATF7	ENSG00000170653	protein_coding	ENST00000420353	23.168	0.043163	0.205	FALSE	0.474274586	-0.299972969	2e-04
ATF7-NPFF	ENSG00000267281	chr12	53506691	53625979	protein_coding	RP11-793H13.10	ENSG00000267281	protein_coding	ENST00000591834	24.618	0.16248	0.372	FALSE	NA	NA	NA
ATF7IP	ENSG00000171681	chr12	14365676	14502931	protein_coding	ATF7IP	ENSG00000171681	protein_coding	ENST00000261168	49.375	0.10127	0.213	FALSE	0.114905203	-1.016061028	0.159702702702703
ATF7IP2	ENSG00000166669	chr16	10326434	10483638	protein_coding	ATF7IP2	ENSG00000166669	protein_coding	ENST00000396560	27.939	0.25055	0.471	FALSE	0.022985481	0.757824024	0.0517333333333333
ATG10	ENSG00000152348	chr5	81972023	82276857	protein_coding	ATG10	ENSG00000152348	protein_coding	ENST00000282185	15.23	0.8536	1.356	FALSE	0.133054505	0.822821274	0.0268076923076923
ATG101	ENSG00000123395	chr12	52069246	52077495	protein_coding	ATG101	ENSG00000123395	protein_coding	NA	NA	NA	NA	FALSE	0.248549506	NA	NA
ATG12	ENSG00000145782	chr5	115828200	115841837	protein_coding	ATG12	ENSG00000145782	protein_coding	ENST00000509910	7.8124	1.024	1.74	FALSE	0.05925466	0.171914426	0.0194736842105263
ATG13	ENSG00000175224	chr11	46617527	46674818	protein_coding	ATG13	ENSG00000175224	protein_coding	ENST00000528494	27.947	0.14313	0.328	FALSE	0.454922071	0.332794446	0.104857142857143
ATG14	ENSG00000126775	chr14	55366391	55411830	protein_coding	ATG14	ENSG00000126775	protein_coding	ENST00000247178	28.258	0.24772	0.465	FALSE	0.1555867	-0.450553689	0.373944444444444
ATG16L1	ENSG00000085978	chr2	233210051	233295674	protein_coding	ATG16L1	ENSG00000085978	protein_coding	ENST00000392017	41.247	0.16971	0.319	FALSE	0.217046727	-0.83810158	0.315578947368421
ATG16L2	ENSG00000168010	chr11	72814406	72843674	protein_coding	ATG16L2	ENSG00000168010	protein_coding	ENST00000321297	35.532	0.78801	1.08	FALSE	0.066744827	-0.120968731	0
ATG2A	ENSG00000110046	chr11	64894546	64917211	protein_coding	ATG2A	ENSG00000110046	protein_coding	ENST00000377264	90.875	0.24209	0.346	FALSE	0.043961932	-0.942159217	0.0857407407407407
ATG2B	ENSG00000066739	chr14	96279195	96363341	protein_coding	ATG2B	ENSG00000066739	protein_coding	ENST00000359933	106.68	0.32809	0.435	FALSE	0.10842436	-0.236935659	0.142945945945946
ATG3	ENSG00000144848	chr3	112532510	112562046	protein_coding	ATG3	ENSG00000144848	protein_coding	ENST00000283290	21.872	0.41149	0.718	FALSE	0.504506892	-0.323246684	0.0214545454545455
ATG4A	ENSG00000101844	chrX	108091668	108154671	protein_coding	ATG4A	ENSG00000101844	protein_coding	ENST00000372232	18.123	0.055179	0.262	FALSE	0.459815165	-0.276628363	0.125090909090909
ATG4B	ENSG00000168397	chr2	241637213	241673857	protein_coding	ATG4B	ENSG00000168397	protein_coding	ENST00000404914	23.041	0.1302	0.337	FALSE	0.085184679	0.55039333	0.146866666666667
ATG4C	ENSG00000125703	chr1	62784132	62865516	protein_coding	ATG4C	ENSG00000125703	protein_coding	ENST00000317868	24.85	1.006	1.405	TRUE	0.851651056	0.452445652	0.0313
ATG4D	ENSG00000130734	chr19	10543895	10553418	protein_coding	ATG4D	ENSG00000130734	protein_coding	ENST00000309469	23.657	0.4227	0.717	FALSE	0.042774508	0.234231994	0.365818181818182
ATG5	ENSG00000057663	chr6	106045423	106325791	protein_coding	ATG5	ENSG00000057663	protein_coding	ENST00000369076	16.054	0.062288	0.295	FALSE	0.895212813	-0.107999068	0.109272727272727
ATG7	ENSG00000197548	chr3	11272309	11557665	protein_coding	ATG7	ENSG00000197548	protein_coding	ENST00000354449	34.831	0.66033	0.936	FALSE	0.493408428	-0.399478747	0.344032258064516
ATG9A	ENSG00000198925	chr2	219219380	219229717	protein_coding	ATG9A	ENSG00000198925	protein_coding	ENST00000409618	37.377	0.16053	0.317	FALSE	0.445722129	-1.193502031	0.205904761904762
ATG9B	ENSG00000181652	chr7	151012209	151024499	protein_coding	ATG9B	ENSG00000181652	protein_coding	ENST00000377974	36.761	0.81609	1.107	FALSE	0.090467592	NA	0.0345454545454545
ATIC	ENSG00000138363	chr2	215311956	215349773	protein_coding	ATIC	ENSG00000138363	protein_coding	ENST00000236959	32.592	0.92046	1.248	FALSE	0.948730799	-0.083485913	0.0194
ATL1	ENSG00000198513	chr14	50532509	50634017	protein_coding	ATL1	ENSG00000198513	protein_coding	ENST00000358385	34.156	0.14639	0.308	FALSE	0.525719843	-0.87793545	0.0321428571428571
ATL2	ENSG00000119787	chr2	38293954	38377285	protein_coding	ATL2	ENSG00000119787	protein_coding	ENST00000378954	33.81	0.29577	0.502	FALSE	0.411862768	0.100990919	0.280714285714286
ATL3	ENSG00000184743	chr11	63624087	63671921	protein_coding	ATL3	ENSG00000184743	protein_coding	ENST00000398868	30.855	0.61579	0.904	FALSE	0.126031529	-0.075045097	0.120342105263158
ATM	ENSG00000149311	chr11	108223044	108369102	protein_coding	ATM	ENSG00000149311	protein_coding	ENST00000278616	170.95	0.60251	0.71	FALSE	0.992666029	-0.116999554	0.0556585365853659
ATMIN	ENSG00000166454	chr16	81035842	81047350	protein_coding	ATMIN	ENSG00000166454	protein_coding	ENST00000299575	23.608	0.46595	0.771	FALSE	0.091182052	0.104578036	0.08452
ATN1	ENSG00000111676	chr12	6924463	6942321	protein_coding	ATN1	ENSG00000111676	protein_coding	ENST00000356654	40.018	0.074967	0.194	FALSE	0.702926343	-1.006208722	0.0813333333333333
ATOH1	ENSG00000172238	chr4	93828753	93830964	protein_coding	ATOH1	ENSG00000172238	protein_coding	ENST00000306011	8.6986	0.45984	1.052	FALSE	0.629872539	-0.40837817	0.39
ATOH7	ENSG00000179774	chr10	68230595	68232113	protein_coding	ATOH7	ENSG00000179774	protein_coding	ENST00000373673	3.333	0.60006	1.661	FALSE	0.300465397	-0.008653939	0.033
ATOH8	ENSG00000168874	chr2	85751344	85791383	protein_coding	ATOH8	ENSG00000168874	protein_coding	ENST00000306279	7.8841	0	0.379	FALSE	0.063936958	-0.151737795	0.133604651162791
ATOX1	ENSG00000177556	chr5	151742316	151772532	protein_coding	ATOX1	ENSG00000177556	protein_coding	ENST00000524142	2.7413	0	1.065	FALSE	0.169034337	0.169731808	0.0443939393939394
ATP10A	ENSG00000206190	chr15	25677271	25865184	protein_coding	ATP10A	ENSG00000206190	protein_coding	ENST00000356865	59.656	0.28497	0.427	FALSE	0.032097365	0.487157376	0.124590909090909
ATP10B	ENSG00000118322	chr5	160563120	160852214	protein_coding	ATP10B	ENSG00000118322	protein_coding	ENST00000327245	65.028	0.81504	1.025	TRUE	0.07854889	1.564235551	0.10975
ATP10D	ENSG00000145246	chr4	47485275	47593486	protein_coding	ATP10D	ENSG00000145246	protein_coding	ENST00000273859	69.029	0.60844	0.787	FALSE	0.06998296	-0.108651185	0.0788095238095238
ATP11A	ENSG00000068650	chr13	112690038	112887168	protein_coding	ATP11A	ENSG00000068650	protein_coding	ENST00000487903	69.765	0.32968	0.467	FALSE	0.13314168	-1.234500187	0.176702127659574
ATP11B	ENSG00000058063	chr3	182793503	182921629	protein_coding	ATP11B	ENSG00000058063	protein_coding	ENST00000323116	68.729	0.27645	0.406	FALSE	0.419706725	0.071463181	0.0659777777777778
ATP11C	ENSG00000101974	chrX	139726346	139945276	protein_coding	ATP11C	ENSG00000101974	protein_coding	ENST00000327569	45.324	0.11032	0.232	FALSE	0.389494809	-0.227917579	0.0731612903225806
ATP12A	ENSG00000075673	chr13	24680408	24712472	protein_coding	ATP12A	ENSG00000075673	protein_coding	ENST00000218548	48.507	0.59785	0.815	TRUE	0.195110246	0.002105203	9.09090909090909e-05
ATP13A1	ENSG00000105726	chr19	19645198	19663676	protein_coding	ATP13A1	ENSG00000105726	protein_coding	ENST00000357324	57.771	0.1731	0.294	FALSE	0.111550115	-2.145038691	0.141666666666667
ATP13A2	ENSG00000159363	chr1	16985958	17011928	protein_coding	ATP13A2	ENSG00000159363	protein_coding	ENST00000326735	57.828	0.41503	0.584	FALSE	0.211936486	-0.734739894	NA
ATP13A3	ENSG00000133657	chr3	194402672	194498364	protein_coding	ATP13A3	ENSG00000133657	protein_coding	ENST00000439040	65.523	0.12209	0.22	FALSE	0.305239327	-0.552414778	0.2129
ATP13A4	ENSG00000127249	chr3	193398967	193593111	protein_coding	ATP13A4	ENSG00000127249	protein_coding	ENST00000342695	65.647	0.74642	0.947	FALSE	0.189604914	-0.602267658	0.0366774193548387
ATP13A5	ENSG00000187527	chr3	193274789	193378820	protein_coding	ATP13A5	ENSG00000187527	protein_coding	ENST00000342358	68.041	1.0582	1.287	TRUE	0.051025682	0.630374092	NA
ATP1A1	ENSG00000163399	chr1	116372668	116410261	protein_coding	ATP1A1	ENSG00000163399	protein_coding	ENST00000537345	52.017	0.038449	0.121	FALSE	0.226525928	-1.371743072	0.087
ATP1A2	ENSG00000018625	chr1	160115759	160143591	protein_coding	ATP1A2	ENSG00000018625	protein_coding	ENST00000361216	49.06	0.32613	0.495	FALSE	0.330286807	-1.923592384	0.0973095238095238
ATP1A3	ENSG00000105409	chr19	41966582	41997497	protein_coding	ATP1A3	ENSG00000105409	protein_coding	ENST00000545399	47.661	0	0.062	FALSE	0.149065263	-1.925769908	0.0223333333333333
ATP1A4	ENSG00000132681	chr1	160151586	160186980	protein_coding	ATP1A4	ENSG00000132681	protein_coding	ENST00000368081	54.32	0.71797	0.938	FALSE	0.060045648	1.147445793	0
ATP1B1	ENSG00000143153	chr1	169105697	169132722	protein_coding	ATP1B1	ENSG00000143153	protein_coding	ENST00000367816	19.546	0	0.153	FALSE	0.11594303	-0.034272193	0.43
ATP1B2	ENSG00000129244	chr17	7646627	7657770	protein_coding	ATP1B2	ENSG00000129244	protein_coding	ENST00000250111	16.835	0.29699	0.624	FALSE	0.217295492	-0.625814642	0.1134375
ATP1B3	ENSG00000069849	chr3	141876124	141926549	protein_coding	ATP1B3	ENSG00000069849	protein_coding	ENST00000286371	13.404	0.29842	0.683	FALSE	0.015999503	-0.257016585	0.0566666666666667
ATP1B4	ENSG00000101892	chrX	120362085	120383249	protein_coding	ATP1B4	ENSG00000101892	protein_coding	ENST00000218008	15.712	0.50917	0.919	TRUE	0.360784799	0.551714331	0.122882352941176
ATP23	ENSG00000166896	chr12	57906039	57959148	protein_coding	XRCC6BP1	ENSG00000166896	protein_coding	ENST00000300145	12.762	0.70523	1.23	FALSE	NA	0.245640846	0.0505714285714286
ATP2A1	ENSG00000196296	chr16	28878405	28904466	protein_coding	ATP2A1	ENSG00000196296	protein_coding	ENST00000357084	48.835	0.61431	0.833	FALSE	0.341919213	-1.564733279	0.007
ATP2A2	ENSG00000174437	chr12	110280756	110351093	protein_coding	ATP2A2	ENSG00000174437	protein_coding	ENST00000539276	48.07	0.12482	0.246	FALSE	0.319412756	-1.781239167	0.154431818181818
ATP2A3	ENSG00000074370	chr17	3923870	3964464	protein_coding	ATP2A3	ENSG00000074370	protein_coding	ENST00000359983	49.721	0.46259	0.655	FALSE	0.0615045	-1.26150632	0.0172
ATP2B1	ENSG00000070961	chr12	89588049	89709300	protein_coding	ATP2B1	ENSG00000070961	protein_coding	ENST00000428670	56.289	0.017765	0.084	FALSE	0.788695463	-1.513290262	0.169060606060606
ATP2B2	ENSG00000157087	chr3	10324023	10708007	protein_coding	ATP2B2	ENSG00000157087	protein_coding	ENST00000360273	52.492	0.057152	0.148	FALSE	0.393540983	-2.955299585	0.369441176470588
ATP2B3	ENSG00000067842	chrX	153517642	153582939	protein_coding	ATP2B3	ENSG00000067842	protein_coding	ENST00000263519	34.854	0.086074	0.222	FALSE	0.203946244	-1.426910929	0.0561153846153846
ATP2B4	ENSG00000058668	chr1	203626787	203744081	protein_coding	ATP2B4	ENSG00000058668	protein_coding	ENST00000357681	54.738	0.2923	0.444	FALSE	0.129216879	-0.572111612	0.20475
ATP2C1	ENSG00000017260	chr3	130850595	131016712	protein_coding	ATP2C1	ENSG00000017260	protein_coding	ENST00000393221	57.657	0.08672	0.182	FALSE	0.628730902	-1.145220801	0.187764705882353
ATP2C2	ENSG00000064270	chr16	84368527	84464187	protein_coding	ATP2C2	ENSG00000064270	protein_coding	ENST00000262429	49.012	1.5302	1.838	TRUE	0.028466008	0.782131263	0.003
ATP4A	ENSG00000105675	chr19	35550031	35563658	protein_coding	ATP4A	ENSG00000105675	protein_coding	ENST00000262623	48.32	0.53808	0.747	FALSE	0.257805486	-1.581295255	0
ATP4B	ENSG00000186009	chr13	113648804	113658198	protein_coding	ATP4B	ENSG00000186009	protein_coding	ENST00000335288	14.924	0.60306	1.052	FALSE	0.020415795	0.29749618	0
