Gene	gene_id	type	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	x_class	Balaton.consensus.calls	Cotton_AR	Tuk_Skew_AR	Tuk_SC_AR	garieri_AR	sauteraud_AR	mean_AR_public
CUL4B	ENSG00000158290	protein_coding	chrX	120505920	120604074	CUL4B	ENSG00000158290	protein_coding	Single-copy	Mostly S	0.02	NA	NA	NA	0.021546732	0.020773366
CXCR3	ENSG00000186810	protein_coding	chrX	71615916	71618511	CXCR3	ENSG00000186810	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
CXorf38	ENSG00000185753	protein_coding	chrX	40626921	40647561	CXorf38	ENSG00000185753	protein_coding	Single-copy	E	0.35	NA	NA	0.00397272005325067	0.120373739	0.158115486351084
CXorf49	ENSG00000215115	protein_coding	chrX	71714371	71718285	CXorf49	ENSG00000215115	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CXorf49B	ENSG00000215113	protein_coding	chrX	71763349	71767204	CXorf49B	ENSG00000215113	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
CXorf51A	ENSG00000224440	protein_coding	chrX	146814106	146814726	CXorf51A	ENSG00000224440	lincRNA	Ampliconic	NA	NA	NA	NA	NA	NA	NA
CXorf51B	ENSG00000235699	protein_coding	chrX	146809771	146810411	CXorf51B	ENSG00000235699	lincRNA	Ampliconic	No call	NA	NA	NA	NA	NA	NA
CXorf58	ENSG00000165182	protein_coding	chrX	23908006	23939509	CXorf58	ENSG00000165182	protein_coding	Single-copy	S	0.07	NA	NA	NA	NA	0.07
CXorf65	ENSG00000204165	protein_coding	chrX	71103889	71106788	CXorf65	ENSG00000204165	protein_coding	Single-copy	VE	0.14	NA	NA	NA	0	0.07
CXorf66	ENSG00000203933	protein_coding	chrX	139955728	139965521	CXorf66	ENSG00000203933	protein_coding	Single-copy	S	0.01	NA	NA	NA	NA	0.01
CYBB	ENSG00000165168	protein_coding	chrX	37780059	37813461	CYBB	ENSG00000165168	protein_coding	Single-copy	S	0.02	NA	0	NA	0.017927973	0.0126426576666667
CYLC1	ENSG00000183035	protein_coding	chrX	83861126	83886699	CYLC1	ENSG00000183035	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
CYSLTR1	ENSG00000173198	protein_coding	chrX	78271468	78327691	CYSLTR1	ENSG00000173198	protein_coding	Single-copy	S	0.05	NA	NA	NA	0.025350412	0.037675206
DACH2	ENSG00000126733	protein_coding	chrX	86148451	86832604	DACH2	ENSG00000126733	protein_coding	Single-copy	Discordant	0.17	NA	NA	NA	NA	0.17
DCAF12L1	ENSG00000198889	protein_coding	chrX	126549383	126552814	DCAF12L1	ENSG00000198889	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
DCAF12L2	ENSG00000198354	protein_coding	chrX	126163499	126166289	DCAF12L2	ENSG00000198354	protein_coding	Multicopy	S	NA	NA	NA	NA	NA	NA
DCAF8L1	ENSG00000226372	protein_coding	chrX	27977992	27981449	DCAF8L1	ENSG00000226372	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
DCAF8L2	ENSG00000189186	protein_coding	chrX	27590382	27748821	DCAF8L2	ENSG00000189186	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
DCX	ENSG00000077279	protein_coding	chrX	111293779	111412429	DCX	ENSG00000077279	protein_coding	Single-copy	S	0.06	NA	NA	NA	NA	0.06
DDX3X	ENSG00000215301	protein_coding	chrX	41333348	41364472	DDX3X	ENSG00000215301	protein_coding	Single-copy	E	0.66	NA	NA	0.465321696725299	0.526866223	0.5507293065751
DDX53	ENSG00000184735	protein_coding	chrX	22999960	23003589	DDX53	ENSG00000184735	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
DGAT2L6	ENSG00000184210	protein_coding	chrX	70177483	70205704	DGAT2L6	ENSG00000184210	protein_coding	Single-copy	VE	0.13	NA	NA	NA	NA	0.13
DGKK	ENSG00000274588	protein_coding	chrX	50365409	50470825	DGKK	ENSG00000274588	protein_coding	Single-copy	S	0.06	NA	NA	NA	NA	0.06
DHRSX	ENSG00000169084	protein_coding	chrX	2219506	2502805	DHRSX	ENSG00000169084	protein_coding	PAR	PAR	0.69	NA	NA	0.606892927903535	0.680004488	0.658965805301178
DIAPH2	ENSG00000147202	protein_coding	chrX	96684663	97604997	DIAPH2	ENSG00000147202	protein_coding	Single-copy	Discordant	0.03	NA	NA	0.00251531091508594	0	0.0108384369716953
DIPK2B	ENSG00000147113	protein_coding	chrX	45148373	45200901	CXorf36	ENSG00000147113	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
DKC1	ENSG00000130826	protein_coding	chrX	154762742	154777689	DKC1	ENSG00000130826	protein_coding	Single-copy	S	NA	NA	NA	NA	0.00819356	0.00819356
DLG3	ENSG00000082458	protein_coding	chrX	70444835	70505490	DLG3	ENSG00000082458	protein_coding	Single-copy	S	0.01	NA	NA	NA	NA	0.01
DMD	ENSG00000198947	protein_coding	chrX	31097677	33339609	DMD	ENSG00000198947	protein_coding	Single-copy	S	0.05	NA	NA	0.00779935924116737	0.106042751	0.0546140367470558
DMRTC1	ENSG00000269502	protein_coding	chrX	72872025	72943837	DMRTC1	ENSG00000269502	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
DMRTC1B	ENSG00000184911	protein_coding	chrX	72776890	72848803	DMRTC1B	ENSG00000184911	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
DNAAF6	ENSG00000080572	protein_coding	chrX	107206611	107244247	PIH1D3	ENSG00000080572	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
DNASE1L1	ENSG00000013563	protein_coding	chrX	154401236	154412112	DNASE1L1	ENSG00000013563	protein_coding	Single-copy	S	0.02	0	NA	NA	0.040752324	0.0202507746666667
DOCK11	ENSG00000147251	protein_coding	chrX	118495815	118686163	DOCK11	ENSG00000147251	protein_coding	Single-copy	Mostly S	0.01	NA	NA	0.00302612983370842	0.018508253	0.0105114609445695
DRP2	ENSG00000102385	protein_coding	chrX	101219769	101264502	DRP2	ENSG00000102385	protein_coding	Single-copy	S	0.07	NA	NA	NA	NA	0.07
DUSP21	ENSG00000189037	protein_coding	chrX	44844021	44844888	DUSP21	ENSG00000189037	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
DUSP9	ENSG00000130829	protein_coding	chrX	153642492	153651326	DUSP9	ENSG00000130829	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
DYNLT3	ENSG00000165169	protein_coding	chrX	37836757	37847571	DYNLT3	ENSG00000165169	protein_coding	Single-copy	S	0.01	NA	NA	NA	0.032742806	0.021371403
EBP	ENSG00000147155	protein_coding	chrX	48521799	48528716	EBP	ENSG00000147155	protein_coding	Single-copy	Mostly S	NA	NA	NA	0.0094331528130378	0	0.0047165764065189
EDA	ENSG00000158813	protein_coding	chrX	69616067	70039472	EDA	ENSG00000158813	protein_coding	Single-copy	Mostly S	0.33	NA	NA	NA	NA	0.33
EDA2R	ENSG00000131080	protein_coding	chrX	66595637	66639298	EDA2R	ENSG00000131080	protein_coding	Single-copy	Discordant	0.01	NA	NA	NA	0.037204411	0.0236022055
EFHC2	ENSG00000183690	protein_coding	chrX	44147872	44343672	EFHC2	ENSG00000183690	protein_coding	Single-copy	Discordant	0.15	NA	NA	NA	NA	0.15
EFNB1	ENSG00000090776	protein_coding	chrX	68829021	68842160	EFNB1	ENSG00000090776	protein_coding	Single-copy	Mostly S	0.17	NA	NA	NA	NA	0.17
EGFL6	ENSG00000198759	protein_coding	chrX	13569601	13633575	EGFL6	ENSG00000198759	protein_coding	Single-copy	S	0.16	NA	NA	NA	NA	0.16
EIF1AX	ENSG00000173674	protein_coding	chrX	20124525	20141838	EIF1AX	ENSG00000173674	protein_coding	Single-copy	E	NA	NA	NA	NA	0.230221921	0.230221921
EIF2S3	ENSG00000130741	protein_coding	chrX	24054946	24078810	EIF2S3	ENSG00000130741	protein_coding	Single-copy	E	0.3	0.217105263157895	NA	NA	0.238970146	0.252025136385965
ELF4	ENSG00000102034	protein_coding	chrX	130063955	130110716	ELF4	ENSG00000102034	protein_coding	Single-copy	S	0.04	0.01	NA	0.0409445114118747	0.021182897	0.0280318521029687
ELK1	ENSG00000126767	protein_coding	chrX	47635521	47650604	ELK1	ENSG00000126767	protein_coding	Single-copy	S	0.05	0	0	NA	0.01815664	0.01703916
EMD	ENSG00000102119	protein_coding	chrX	154379273	154381574	EMD	ENSG00000102119	protein_coding	Single-copy	S	NA	NA	NA	NA	0.050622137	0.050622137
ENOX2	ENSG00000165675	protein_coding	chrX	130622325	130903234	ENOX2	ENSG00000165675	protein_coding	Single-copy	Mostly S	0.03	NA	NA	0.002811884524206	0.005291885	0.0127012565080687
EOLA1	ENSG00000197620	protein_coding	chrX	149540355	149550510	CXorf40A	ENSG00000197620	protein_coding	Ampliconic	S	NA	NA	NA	NA	0.054533924	0.054533924
EOLA2	ENSG00000197021	protein_coding	chrX	149929527	149938700	CXorf40B	ENSG00000197021	protein_coding	Ampliconic	S	NA	NA	NA	NA	0.166164294	0.166164294
ERAS	ENSG00000187682	protein_coding	chrX	48826513	48830138	ERAS	ENSG00000187682	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
ERCC6L	ENSG00000186871	protein_coding	chrX	72204657	72239027	ERCC6L	ENSG00000186871	protein_coding	Single-copy	S	NA	NA	NA	NA	0.047848399	0.047848399
ESX1	ENSG00000123576	protein_coding	chrX	104250038	104254933	ESX1	ENSG00000123576	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
ETDA	ENSG00000238210	protein_coding	chrX	135252061	135253583	RP13-210D15.4	ENSG00000238210	lincRNA	Ampliconic	NA	NA	NA	NA	NA	NA	NA
ETDB	ENSG00000224107	protein_coding	chrX	135118955	135120526	LINC00633	ENSG00000224107	lincRNA	Ampliconic	NA	NA	NA	NA	NA	NA	NA
ETDC	ENSG00000283644	protein_coding	chrX	135309480	135309659	NA	ENSG00000283644	NA	Multicopy	NA	NA	NA	NA	NA	NA	NA
EZHIP	ENSG00000187690	protein_coding	chrX	51406948	51408843	CXorf67	ENSG00000187690	protein_coding	Single-copy	NA	NA	NA	NA	NA	NA	NA
F8	ENSG00000185010	protein_coding	chrX	154835788	155026940	F8	ENSG00000185010	protein_coding	Single-copy	S	0.06	NA	NA	NA	NA	0.06
F8A1	ENSG00000288722	protein_coding	chrX	154886355	154888061	F8A1	ENSG00000277203	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
F8A2	ENSG00000288709	protein_coding	chrX	155382095	155383801	F8A2	ENSG00000274791	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
F8A3	ENSG00000277150	protein_coding	chrX	155456914	155458620	F8A3	ENSG00000277150	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
F9	ENSG00000101981	protein_coding	chrX	139530739	139563459	F9	ENSG00000101981	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
FAAH2	ENSG00000165591	protein_coding	chrX	57286706	57489193	FAAH2	ENSG00000165591	protein_coding	Single-copy	S	0.03	NA	NA	NA	NA	0.03
FAM104B	ENSG00000182518	protein_coding	chrX	55143102	55161310	FAM104B	ENSG00000182518	protein_coding	Single-copy	S	0.1	NA	NA	0.00186748098455514	NA	0.0509337404922776
FAM120C	ENSG00000184083	protein_coding	chrX	54068324	54183281	FAM120C	ENSG00000184083	protein_coding	Single-copy	S	0.05	NA	NA	NA	NA	0.05
FAM133A	ENSG00000179083	protein_coding	chrX	93674013	93712274	FAM133A	ENSG00000179083	protein_coding	Single-copy	S	0.01	NA	NA	NA	0.125446169	0.0677230845
FAM155B	ENSG00000130054	protein_coding	chrX	69504326	69532508	FAM155B	ENSG00000130054	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
FAM156A	ENSG00000268350	protein_coding	chrX	52926402	52995472	FAM156A	ENSG00000268350	protein_coding	Ampliconic	S	NA	NA	NA	NA	NA	NA
FAM156B	ENSG00000179304	protein_coding	chrX	52891306	52908560	FAM156B	ENSG00000179304	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
FAM199X	ENSG00000123575	protein_coding	chrX	104166453	104195902	FAM199X	ENSG00000123575	protein_coding	Single-copy	S	0.01	0	NA	0.00373346589523782	0.007561876	0.00532383547380946
FAM236A	ENSG00000275520	protein_coding	chrX	72938163	72938958	LINC00684	ENSG00000275520	lincRNA	Ampliconic	NA	NA	NA	NA	NA	NA	NA
FAM236B	ENSG00000268994	protein_coding	chrX	72781865	72782660	RP1-172N19.1	ENSG00000268994	lincRNA	Ampliconic	NA	NA	NA	NA	NA	NA	NA
FAM236C	ENSG00000283594	protein_coding	chrX	72912615	72913401	NA	ENSG00000283594	NA	Ampliconic	NA	NA	NA	NA	NA	NA	NA
FAM236D	ENSG00000225396	protein_coding	chrX	72807425	72808210	RP11-69A21.2	ENSG00000225396	lincRNA	Ampliconic	NA	NA	NA	NA	NA	NA	NA
FAM3A	ENSG00000071889	protein_coding	chrX	154506159	154516242	FAM3A	ENSG00000071889	protein_coding	Single-copy	S	NA	0	NA	NA	0.036269902	0.018134951
FAM47A	ENSG00000185448	protein_coding	chrX	34129752	34132314	FAM47A	ENSG00000185448	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
FAM47B	ENSG00000189132	protein_coding	chrX	34942796	34944915	FAM47B	ENSG00000189132	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
FAM47C	ENSG00000198173	protein_coding	chrX	37008366	37011664	FAM47C	ENSG00000198173	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
FAM50A	ENSG00000071859	protein_coding	chrX	154444141	154450654	FAM50A	ENSG00000071859	protein_coding	Single-copy	S	NA	NA	NA	NA	0.0141409	0.0141409
FAM9A	ENSG00000183304	protein_coding	chrX	8790795	8801383	FAM9A	ENSG00000183304	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
FAM9B	ENSG00000177138	protein_coding	chrX	9024232	9295682	FAM9B	ENSG00000177138	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
FAM9C	ENSG00000187268	protein_coding	chrX	13035617	13044682	FAM9C	ENSG00000187268	protein_coding	Multicopy	E	NA	NA	NA	NA	NA	NA
FANCB	ENSG00000181544	protein_coding	chrX	14835961	14873069	FANCB	ENSG00000181544	protein_coding	Single-copy	S	0.08	0	NA	NA	NA	0.04
FATE1	ENSG00000147378	protein_coding	chrX	151716035	151723194	FATE1	ENSG00000147378	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
FGD1	ENSG00000102302	protein_coding	chrX	54445454	54496234	FGD1	ENSG00000102302	protein_coding	Single-copy	Mostly S	0.07	NA	NA	NA	NA	0.07
FGF13	ENSG00000129682	protein_coding	chrX	138614727	139222777	FGF13	ENSG00000129682	protein_coding	Single-copy	Mostly S	0.1	NA	NA	NA	NA	0.1
FGF16	ENSG00000196468	protein_coding	chrX	77447389	77457278	FGF16	ENSG00000196468	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
FHL1	ENSG00000022267	protein_coding	chrX	136146702	136211359	FHL1	ENSG00000022267	protein_coding	Single-copy	Mostly S	0.12	0	NA	0.0352245505572615	NA	0.0517415168524205
FIRRE	ENSG00000213468	lncRNA	chrX	131688779	131830862	FIRRE	ENSG00000213468	lincRNA	Single-copy	VE	NA	NA	NA	NA	NA	NA
FLNA	ENSG00000196924	protein_coding	chrX	154348524	154374634	FLNA	ENSG00000196924	protein_coding	Single-copy	S	0.04	0	0	0	0.013633511	0.0107267022
FMR1	ENSG00000102081	protein_coding	chrX	147911919	147951125	FMR1	ENSG00000102081	protein_coding	Single-copy	S	0	NA	NA	0.0145603361289641	0.018350013	0.0109701163763214
FMR1NB	ENSG00000176988	protein_coding	chrX	147981337	148026665	FMR1NB	ENSG00000176988	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
FOXO4	ENSG00000184481	protein_coding	chrX	71095851	71103532	FOXO4	ENSG00000184481	protein_coding	Single-copy	VE	NA	NA	NA	NA	0.050777021	0.050777021
FOXP3	ENSG00000049768	protein_coding	chrX	49250438	49270477	FOXP3	ENSG00000049768	protein_coding	Single-copy	S	0.01	NA	NA	NA	NA	0.01
FOXR2	ENSG00000189299	protein_coding	chrX	55623400	55626192	FOXR2	ENSG00000189299	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
FRMD7	ENSG00000165694	protein_coding	chrX	132076990	132128020	FRMD7	ENSG00000165694	protein_coding	Single-copy	VE	0.2	NA	NA	NA	NA	0.2
FRMPD3	ENSG00000147234	protein_coding	chrX	107449652	107605255	FRMPD3	ENSG00000147234	protein_coding	Single-copy	NA	NA	NA	NA	NA	NA	NA
FRMPD4	ENSG00000169933	protein_coding	chrX	11822423	12724523	FRMPD4	ENSG00000169933	protein_coding	Single-copy	Discordant	0.31	NA	NA	NA	NA	0.31
FTHL17	ENSG00000132446	protein_coding	chrX	31071233	31072041	FTHL17	ENSG00000132446	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
FTSJ1	ENSG00000068438	protein_coding	chrX	48476021	48486364	FTSJ1	ENSG00000068438	protein_coding	Single-copy	S	0.01	NA	NA	NA	0.012936617	0.0114683085
FTX	ENSG00000230590	lncRNA	chrX	73940435	74293574	FTX	ENSG00000230590	lincRNA	Single-copy	S	0.05	NA	NA	0.00914792594872527	0.06021161	0.0397865119829084
FUNDC1	ENSG00000069509	protein_coding	chrX	44523639	44542859	FUNDC1	ENSG00000069509	protein_coding	Single-copy	E	0.46	NA	NA	NA	0.202334885	0.3311674425
FUNDC2	ENSG00000165775	protein_coding	chrX	155025980	155060304	FUNDC2	ENSG00000165775	protein_coding	Single-copy	S	0.03	NA	NA	NA	0.022330828	0.026165414
G6PD	ENSG00000160211	protein_coding	chrX	154531391	154547572	G6PD	ENSG00000160211	protein_coding	Single-copy	S	0.01	NA	0	NA	0.011791595	0.007263865
GAB3	ENSG00000160219	protein_coding	chrX	154675249	154751583	GAB3	ENSG00000160219	protein_coding	Single-copy	Mostly S	0.03	NA	NA	0.0025747536640367	NA	0.0162873768320183
GABRA3	ENSG00000011677	protein_coding	chrX	152166234	152451315	GABRA3	ENSG00000011677	protein_coding	Single-copy	Discordant	0.22	NA	NA	NA	NA	0.22
GABRE	ENSG00000102287	protein_coding	chrX	151953124	151974680	GABRE	ENSG00000102287	protein_coding	Single-copy	S	NA	NA	NA	0.00408692018089751	NA	0.00408692018089751
GABRQ	ENSG00000268089	protein_coding	chrX	152637895	152657542	GABRQ	ENSG00000268089	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
GAGE1	ENSG00000205777	protein_coding	chrX	49599025	49608536	GAGE1	ENSG00000205777	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE10	ENSG00000215274	protein_coding	chrX	49303669	49319844	GAGE10	ENSG00000215274	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE12B	ENSG00000236737	protein_coding	chrX	49529869	49529985	GAGE12B	ENSG00000236737	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE12C	ENSG00000237671	protein_coding	chrX	49532211	49539538	GAGE12C	ENSG00000237671	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
GAGE12D	ENSG00000227488	protein_coding	chrX	49541767	49549094	GAGE12D	ENSG00000227488	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE12E	ENSG00000216649	protein_coding	chrX	49551316	49558649	GAGE12E	ENSG00000216649	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE12G	ENSG00000215269	protein_coding	chrX	49570434	49577754	GAGE12G	ENSG00000215269	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE12G	ENSG00000215269	protein_coding	chrX	49570434	49577754	GAGE12G	ENSG00000215269	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE12H	ENSG00000224902	protein_coding	chrX	49579983	49587301	GAGE12H	ENSG00000224902	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
GAGE12J	ENSG00000224659	protein_coding	chrX	49322057	49329384	GAGE12J	ENSG00000224659	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE13	ENSG00000274274	protein_coding	chrX	49331616	49338952	GAGE13	ENSG00000274274	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE2A	ENSG00000189064	protein_coding	chrX	49589529	49596827	GAGE2A	ENSG00000189064	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE2A	ENSG00000189064	protein_coding	chrX	49589529	49596827	GAGE2A	ENSG00000189064	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GAGE2E	ENSG00000275113	protein_coding	chrX	49341192	49345922	GAGE2E	ENSG00000275113	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
GATA1	ENSG00000102145	protein_coding	chrX	48786562	48794311	GATA1	ENSG00000102145	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
GCNA	ENSG00000147174	protein_coding	chrX	71578437	71613583	ACRC	ENSG00000147174	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
GDI1	ENSG00000203879	protein_coding	chrX	154436913	154443467	GDI1	ENSG00000203879	protein_coding	Single-copy	S	NA	0.00280898876404494	NA	NA	0.008373343	0.00559116588202247
GDPD2	ENSG00000130055	protein_coding	chrX	70423031	70433390	GDPD2	ENSG00000130055	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
GEMIN8	ENSG00000046647	protein_coding	chrX	14006726	14029893	GEMIN8	ENSG00000046647	protein_coding	Single-copy	Mostly E	0.1	NA	NA	0.428571428571429	0.184030446	0.237533958190476
GJB1	ENSG00000169562	protein_coding	chrX	71212811	71225516	GJB1	ENSG00000169562	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
GK	ENSG00000198814	protein_coding	chrX	30653359	30731462	GK	ENSG00000198814	protein_coding	Single-copy	S	0.04	NA	NA	0.0025374222156278	0.010037904	0.0175251087385426
GLA	ENSG00000102393	protein_coding	chrX	101393273	101408012	GLA	ENSG00000102393	protein_coding	Single-copy	S	0.1	0	0	NA	0.010095368	0.027523842
GLOD5	ENSG00000171433	protein_coding	chrX	48761747	48773648	GLOD5	ENSG00000171433	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
GLRA2	ENSG00000101958	protein_coding	chrX	14529298	14731812	GLRA2	ENSG00000101958	protein_coding	Multicopy	Mostly S	0.08	NA	NA	NA	NA	0.08
GLUD2	ENSG00000182890	protein_coding	chrX	121047610	121050094	GLUD2	ENSG00000182890	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
GNG5P2	ENSG00000133136	protein_coding	chrX	110346103	110440372	GNG5P2	ENSG00000133136	processed_pseudogene	Single-copy	NA	NA	NA	NA	NA	NA	NA
GNL3L	ENSG00000130119	protein_coding	chrX	54530183	54621521	GNL3L	ENSG00000130119	protein_coding	Single-copy	Mostly S	0.01	NA	NA	NA	0.047452505	0.0287262525
GPC3	ENSG00000147257	protein_coding	chrX	133535745	133985594	GPC3	ENSG00000147257	protein_coding	Single-copy	S	0.06	NA	NA	NA	NA	0.06
GPC4	ENSG00000076716	protein_coding	chrX	133300103	133415489	GPC4	ENSG00000076716	protein_coding	Single-copy	Mostly S	0.1	NA	NA	NA	0.007913105	0.0539565525
GPKOW	ENSG00000068394	protein_coding	chrX	49113407	49123735	GPKOW	ENSG00000068394	protein_coding	Single-copy	Mostly S	0.06	NA	NA	NA	0.012766758	0.036383379
GPM6B	ENSG00000046653	protein_coding	chrX	13770939	13938638	GPM6B	ENSG00000046653	protein_coding	Single-copy	Mostly E	0.17	NA	NA	NA	NA	0.17
GPR101	ENSG00000165370	protein_coding	chrX	137023929	137033995	GPR101	ENSG00000165370	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
GPR119	ENSG00000147262	protein_coding	chrX	130379449	130385674	GPR119	ENSG00000147262	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
GPR143	ENSG00000101850	protein_coding	chrX	9725346	9786297	GPR143	ENSG00000101850	protein_coding	Single-copy	Mostly S	0.06	NA	NA	NA	NA	0.06
GPR173	ENSG00000184194	protein_coding	chrX	53048789	53080615	GPR173	ENSG00000184194	protein_coding	Single-copy	Mostly S	0.21	NA	NA	0.00386487978718075	NA	0.10693243989359
GPR174	ENSG00000147138	protein_coding	chrX	79144688	79175318	GPR174	ENSG00000147138	protein_coding	Single-copy	VE	0.15	NA	NA	NA	0.163224651	0.1566123255
GPR34	ENSG00000171659	protein_coding	chrX	41688973	41697275	GPR34	ENSG00000171659	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
GPR50	ENSG00000102195	protein_coding	chrX	151176584	151181465	GPR50	ENSG00000102195	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
GPR82	ENSG00000171657	protein_coding	chrX	41724181	41730130	GPR82	ENSG00000171657	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
GPRASP1	ENSG00000198932	protein_coding	chrX	102651092	102659083	GPRASP1	ENSG00000198932	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
GPRASP2	ENSG00000158301	protein_coding	chrX	102712445	102717733	GPRASP2	ENSG00000158301	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
GRIA3	ENSG00000125675	protein_coding	chrX	123184153	123490915	GRIA3	ENSG00000125675	protein_coding	Single-copy	Mostly S	0.12	NA	NA	0.00378829703300254	NA	0.0618941485165013
GRIPAP1	ENSG00000068400	protein_coding	chrX	48973720	49002264	GRIPAP1	ENSG00000068400	protein_coding	Single-copy	S	0.01	0	0	0.00681107693546856	0.053545986	0.0140714125870937
GRPR	ENSG00000126010	protein_coding	chrX	16123565	16153518	GRPR	ENSG00000126010	protein_coding	Single-copy	Mostly VE	0.15	NA	NA	NA	NA	0.15
GSPT2	ENSG00000189369	protein_coding	chrX	51743442	51746232	GSPT2	ENSG00000189369	protein_coding	Single-copy	S	NA	0	NA	NA	0.010537347	0.0052686735
GTPBP6	ENSG00000178605	protein_coding	chrX	304529	318819	GTPBP6	ENSG00000178605	protein_coding	PAR	PAR	0.57	0.671875	NA	0.603257054886643	0.621948462	0.616770129221661
GUCY2F	ENSG00000101890	protein_coding	chrX	109372906	109482086	GUCY2F	ENSG00000101890	protein_coding	Single-copy	VE	0.11	NA	NA	NA	NA	0.11
GYG2	ENSG00000056998	protein_coding	chrX	2828822	2882820	GYG2	ENSG00000056998	protein_coding	Single-copy	Mostly E	NA	NA	NA	NA	NA	NA
H2AB1	ENSG00000274183	protein_coding	chrX	154884972	154885558	H2AFB1	ENSG00000274183	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
H2AB2	ENSG00000277858	protein_coding	chrX	155380709	155381299	H2AFB2	ENSG00000277858	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
