Gene	gene_id	type	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	Human_NPY	x_class
EFHC2	ENSG00000183690	protein_coding	chrX	44147872	44343672	EFHC2	ENSG00000183690	protein_coding	FALSE	Single-copy
EFNB1	ENSG00000090776	protein_coding	chrX	68829021	68842160	EFNB1	ENSG00000090776	protein_coding	FALSE	Single-copy
EGFL6	ENSG00000198759	protein_coding	chrX	13569601	13633575	EGFL6	ENSG00000198759	protein_coding	FALSE	Single-copy
EIF1AX	ENSG00000173674	protein_coding	chrX	20124525	20141838	EIF1AX	ENSG00000173674	protein_coding	TRUE	Single-copy
EIF2S3	ENSG00000130741	protein_coding	chrX	24054946	24078810	EIF2S3	ENSG00000130741	protein_coding	FALSE	Single-copy
ELF4	ENSG00000102034	protein_coding	chrX	130063955	130110716	ELF4	ENSG00000102034	protein_coding	FALSE	Single-copy
ELK1	ENSG00000126767	protein_coding	chrX	47635521	47650604	ELK1	ENSG00000126767	protein_coding	FALSE	Single-copy
EMD	ENSG00000102119	protein_coding	chrX	154379273	154381574	EMD	ENSG00000102119	protein_coding	FALSE	Single-copy
ENOX2	ENSG00000165675	protein_coding	chrX	130622325	130903234	ENOX2	ENSG00000165675	protein_coding	FALSE	Single-copy
EOLA1	ENSG00000197620	protein_coding	chrX	149540355	149550510	CXorf40A	ENSG00000197620	protein_coding	FALSE	Ampliconic
EOLA2	ENSG00000197021	protein_coding	chrX	149929527	149938700	CXorf40B	ENSG00000197021	protein_coding	FALSE	Ampliconic
ERAS	ENSG00000187682	protein_coding	chrX	48826513	48830138	ERAS	ENSG00000187682	protein_coding	FALSE	Single-copy
ERCC6L	ENSG00000186871	protein_coding	chrX	72204657	72239027	ERCC6L	ENSG00000186871	protein_coding	FALSE	Single-copy
ESX1	ENSG00000123576	protein_coding	chrX	104250038	104254933	ESX1	ENSG00000123576	protein_coding	FALSE	Single-copy
ETDA	ENSG00000238210	protein_coding	chrX	135252061	135253583	RP13-210D15.4	ENSG00000238210	lincRNA	FALSE	Ampliconic
ETDB	ENSG00000224107	protein_coding	chrX	135118955	135120526	LINC00633	ENSG00000224107	lincRNA	FALSE	Ampliconic
ETDC	ENSG00000283644	protein_coding	chrX	135309480	135309659	NA	ENSG00000283644	NA	FALSE	Multicopy
EZHIP	ENSG00000187690	protein_coding	chrX	51406948	51408843	CXorf67	ENSG00000187690	protein_coding	FALSE	Single-copy
F8	ENSG00000185010	protein_coding	chrX	154835788	155026940	F8	ENSG00000185010	protein_coding	FALSE	Single-copy
F8A1	ENSG00000288722	protein_coding	chrX	154886355	154888061	F8A1	ENSG00000277203	protein_coding	FALSE	Ampliconic
F8A2	ENSG00000288709	protein_coding	chrX	155382095	155383801	F8A2	ENSG00000274791	protein_coding	FALSE	Ampliconic
F8A3	ENSG00000277150	protein_coding	chrX	155456914	155458620	F8A3	ENSG00000277150	protein_coding	FALSE	Ampliconic
F9	ENSG00000101981	protein_coding	chrX	139530739	139563459	F9	ENSG00000101981	protein_coding	FALSE	Single-copy
FAAH2	ENSG00000165591	protein_coding	chrX	57286706	57489193	FAAH2	ENSG00000165591	protein_coding	FALSE	Single-copy
FAM104B	ENSG00000182518	protein_coding	chrX	55143102	55161310	FAM104B	ENSG00000182518	protein_coding	FALSE	Single-copy
FAM120C	ENSG00000184083	protein_coding	chrX	54068324	54183281	FAM120C	ENSG00000184083	protein_coding	FALSE	Single-copy
FAM133A	ENSG00000179083	protein_coding	chrX	93674013	93712274	FAM133A	ENSG00000179083	protein_coding	FALSE	Single-copy
FAM155B	ENSG00000130054	protein_coding	chrX	69504326	69532508	FAM155B	ENSG00000130054	protein_coding	FALSE	Single-copy
FAM156A	ENSG00000268350	protein_coding	chrX	52926402	52995472	FAM156A	ENSG00000268350	protein_coding	FALSE	Ampliconic
FAM156B	ENSG00000179304	protein_coding	chrX	52891306	52908560	FAM156B	ENSG00000179304	protein_coding	FALSE	Ampliconic
FAM199X	ENSG00000123575	protein_coding	chrX	104166453	104195902	FAM199X	ENSG00000123575	protein_coding	FALSE	Single-copy
FAM236A	ENSG00000275520	protein_coding	chrX	72938163	72938958	LINC00684	ENSG00000275520	lincRNA	FALSE	Ampliconic
FAM236B	ENSG00000268994	protein_coding	chrX	72781865	72782660	RP1-172N19.1	ENSG00000268994	lincRNA	FALSE	Ampliconic
FAM236C	ENSG00000283594	protein_coding	chrX	72912615	72913401	NA	ENSG00000283594	NA	FALSE	Ampliconic
FAM236D	ENSG00000225396	protein_coding	chrX	72807425	72808210	RP11-69A21.2	ENSG00000225396	lincRNA	FALSE	Ampliconic
FAM3A	ENSG00000071889	protein_coding	chrX	154506159	154516242	FAM3A	ENSG00000071889	protein_coding	FALSE	Single-copy
FAM47A	ENSG00000185448	protein_coding	chrX	34129752	34132314	FAM47A	ENSG00000185448	protein_coding	FALSE	Multicopy
FAM47B	ENSG00000189132	protein_coding	chrX	34942796	34944915	FAM47B	ENSG00000189132	protein_coding	FALSE	Multicopy
FAM47C	ENSG00000198173	protein_coding	chrX	37008366	37011664	FAM47C	ENSG00000198173	protein_coding	FALSE	Multicopy
FAM50A	ENSG00000071859	protein_coding	chrX	154444141	154450654	FAM50A	ENSG00000071859	protein_coding	FALSE	Single-copy
FAM9A	ENSG00000183304	protein_coding	chrX	8790795	8801383	FAM9A	ENSG00000183304	protein_coding	FALSE	Multicopy
FAM9B	ENSG00000177138	protein_coding	chrX	9024232	9295682	FAM9B	ENSG00000177138	protein_coding	FALSE	Multicopy
FAM9C	ENSG00000187268	protein_coding	chrX	13035617	13044682	FAM9C	ENSG00000187268	protein_coding	FALSE	Multicopy
FANCB	ENSG00000181544	protein_coding	chrX	14835961	14873069	FANCB	ENSG00000181544	protein_coding	FALSE	Single-copy
FATE1	ENSG00000147378	protein_coding	chrX	151716035	151723194	FATE1	ENSG00000147378	protein_coding	FALSE	Single-copy
FGD1	ENSG00000102302	protein_coding	chrX	54445454	54496234	FGD1	ENSG00000102302	protein_coding	FALSE	Single-copy
FGF13	ENSG00000129682	protein_coding	chrX	138614727	139222777	FGF13	ENSG00000129682	protein_coding	FALSE	Single-copy
FGF16	ENSG00000196468	protein_coding	chrX	77447389	77457278	FGF16	ENSG00000196468	protein_coding	FALSE	Single-copy
FHL1	ENSG00000022267	protein_coding	chrX	136146702	136211359	FHL1	ENSG00000022267	protein_coding	FALSE	Single-copy
FIRRE	ENSG00000213468	lncRNA	chrX	131688779	131830862	FIRRE	ENSG00000213468	lincRNA	FALSE	Single-copy
FLNA	ENSG00000196924	protein_coding	chrX	154348524	154374634	FLNA	ENSG00000196924	protein_coding	FALSE	Single-copy
FMR1	ENSG00000102081	protein_coding	chrX	147911919	147951125	FMR1	ENSG00000102081	protein_coding	FALSE	Single-copy
FMR1NB	ENSG00000176988	protein_coding	chrX	147981337	148026665	FMR1NB	ENSG00000176988	protein_coding	FALSE	Single-copy
FOXO4	ENSG00000184481	protein_coding	chrX	71095851	71103532	FOXO4	ENSG00000184481	protein_coding	FALSE	Single-copy
FOXP3	ENSG00000049768	protein_coding	chrX	49250438	49270477	FOXP3	ENSG00000049768	protein_coding	FALSE	Single-copy
FOXR2	ENSG00000189299	protein_coding	chrX	55623400	55626192	FOXR2	ENSG00000189299	protein_coding	FALSE	Single-copy
FRMD7	ENSG00000165694	protein_coding	chrX	132076990	132128020	FRMD7	ENSG00000165694	protein_coding	FALSE	Single-copy
FRMPD3	ENSG00000147234	protein_coding	chrX	107449652	107605255	FRMPD3	ENSG00000147234	protein_coding	FALSE	Single-copy
FRMPD4	ENSG00000169933	protein_coding	chrX	11822423	12724523	FRMPD4	ENSG00000169933	protein_coding	FALSE	Single-copy
FTHL17	ENSG00000132446	protein_coding	chrX	31071233	31072041	FTHL17	ENSG00000132446	protein_coding	FALSE	Multicopy
FTSJ1	ENSG00000068438	protein_coding	chrX	48476021	48486364	FTSJ1	ENSG00000068438	protein_coding	FALSE	Single-copy
FTX	ENSG00000230590	lncRNA	chrX	73940435	74293574	FTX	ENSG00000230590	lincRNA	FALSE	Single-copy
FUNDC1	ENSG00000069509	protein_coding	chrX	44523639	44542859	FUNDC1	ENSG00000069509	protein_coding	FALSE	Single-copy
FUNDC2	ENSG00000165775	protein_coding	chrX	155025980	155060304	FUNDC2	ENSG00000165775	protein_coding	FALSE	Single-copy
G6PD	ENSG00000160211	protein_coding	chrX	154531391	154547572	G6PD	ENSG00000160211	protein_coding	FALSE	Single-copy
GAB3	ENSG00000160219	protein_coding	chrX	154675249	154751583	GAB3	ENSG00000160219	protein_coding	FALSE	Single-copy
GABRA3	ENSG00000011677	protein_coding	chrX	152166234	152451315	GABRA3	ENSG00000011677	protein_coding	FALSE	Single-copy
GABRE	ENSG00000102287	protein_coding	chrX	151953124	151974680	GABRE	ENSG00000102287	protein_coding	FALSE	Single-copy
GABRQ	ENSG00000268089	protein_coding	chrX	152637895	152657542	GABRQ	ENSG00000268089	protein_coding	FALSE	Single-copy
GAGE1	ENSG00000205777	protein_coding	chrX	49599025	49608536	GAGE1	ENSG00000205777	protein_coding	FALSE	Ampliconic
GAGE10	ENSG00000215274	protein_coding	chrX	49303669	49319844	GAGE10	ENSG00000215274	protein_coding	FALSE	Ampliconic
GAGE12B	ENSG00000236737	protein_coding	chrX	49529869	49529985	GAGE12B	ENSG00000236737	protein_coding	FALSE	Ampliconic
GAGE12C	ENSG00000237671	protein_coding	chrX	49532211	49539538	GAGE12C	ENSG00000237671	protein_coding	FALSE	Ampliconic
GAGE12D	ENSG00000227488	protein_coding	chrX	49541767	49549094	GAGE12D	ENSG00000227488	protein_coding	FALSE	Ampliconic
GAGE12E	ENSG00000216649	protein_coding	chrX	49551316	49558649	GAGE12E	ENSG00000216649	protein_coding	FALSE	Ampliconic
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	FALSE	Ampliconic
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	FALSE	Ampliconic
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	FALSE	Ampliconic
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	FALSE	Ampliconic
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	FALSE	Ampliconic
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	FALSE	Ampliconic
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	FALSE	Ampliconic
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	FALSE	Ampliconic
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	FALSE	Ampliconic
GAGE12G	ENSG00000215269	protein_coding	chrX	49570434	49577754	GAGE12G	ENSG00000215269	protein_coding	FALSE	Ampliconic
GAGE12G	ENSG00000215269	protein_coding	chrX	49570434	49577754	GAGE12G	ENSG00000215269	protein_coding	FALSE	Ampliconic
GAGE12G	ENSG00000215269	protein_coding	chrX	49570434	49577754	GAGE12G	ENSG00000215269	protein_coding	FALSE	Ampliconic
GAGE12G	ENSG00000215269	protein_coding	chrX	49570434	49577754	GAGE12G	ENSG00000215269	protein_coding	FALSE	Ampliconic
GAGE12G	ENSG00000215269	protein_coding	chrX	49570434	49577754	GAGE12G	ENSG00000215269	protein_coding	FALSE	Ampliconic
GAGE12G	ENSG00000215269	protein_coding	chrX	49570434	49577754	GAGE12G	ENSG00000215269	protein_coding	FALSE	Ampliconic
GAGE12H	ENSG00000224902	protein_coding	chrX	49579983	49587301	GAGE12H	ENSG00000224902	protein_coding	FALSE	Ampliconic
GAGE12J	ENSG00000224659	protein_coding	chrX	49322057	49329384	GAGE12J	ENSG00000224659	protein_coding	FALSE	Ampliconic
GAGE13	ENSG00000274274	protein_coding	chrX	49331616	49338952	GAGE13	ENSG00000274274	protein_coding	FALSE	Ampliconic
GAGE2A	ENSG00000189064	protein_coding	chrX	49589529	49596827	GAGE2A	ENSG00000189064	protein_coding	FALSE	Ampliconic
GAGE2A	ENSG00000189064	protein_coding	chrX	49589529	49596827	GAGE2A	ENSG00000189064	protein_coding	FALSE	Ampliconic
GAGE2A	ENSG00000189064	protein_coding	chrX	49589529	49596827	GAGE2A	ENSG00000189064	protein_coding	FALSE	Ampliconic
GAGE2A	ENSG00000189064	protein_coding	chrX	49589529	49596827	GAGE2A	ENSG00000189064	protein_coding	FALSE	Ampliconic
GAGE2A	ENSG00000189064	protein_coding	chrX	49589529	49596827	GAGE2A	ENSG00000189064	protein_coding	FALSE	Ampliconic
GAGE2A	ENSG00000189064	protein_coding	chrX	49589529	49596827	GAGE2A	ENSG00000189064	protein_coding	FALSE	Ampliconic
GAGE2E	ENSG00000275113	protein_coding	chrX	49341192	49345922	GAGE2E	ENSG00000275113	protein_coding	FALSE	Ampliconic
GATA1	ENSG00000102145	protein_coding	chrX	48786562	48794311	GATA1	ENSG00000102145	protein_coding	FALSE	Single-copy
GCNA	ENSG00000147174	protein_coding	chrX	71578437	71613583	ACRC	ENSG00000147174	protein_coding	FALSE	Single-copy
GDI1	ENSG00000203879	protein_coding	chrX	154436913	154443467	GDI1	ENSG00000203879	protein_coding	FALSE	Single-copy
GDPD2	ENSG00000130055	protein_coding	chrX	70423031	70433390	GDPD2	ENSG00000130055	protein_coding	FALSE	Single-copy
GEMIN8	ENSG00000046647	protein_coding	chrX	14006726	14029893	GEMIN8	ENSG00000046647	protein_coding	FALSE	Single-copy
GJB1	ENSG00000169562	protein_coding	chrX	71212811	71225516	GJB1	ENSG00000169562	protein_coding	FALSE	Single-copy
GK	ENSG00000198814	protein_coding	chrX	30653359	30731462	GK	ENSG00000198814	protein_coding	FALSE	Single-copy
GLA	ENSG00000102393	protein_coding	chrX	101393273	101408012	GLA	ENSG00000102393	protein_coding	FALSE	Single-copy
GLOD5	ENSG00000171433	protein_coding	chrX	48761747	48773648	GLOD5	ENSG00000171433	protein_coding	FALSE	Single-copy
GLRA2	ENSG00000101958	protein_coding	chrX	14529298	14731812	GLRA2	ENSG00000101958	protein_coding	FALSE	Multicopy
GLUD2	ENSG00000182890	protein_coding	chrX	121047610	121050094	GLUD2	ENSG00000182890	protein_coding	FALSE	Single-copy
GNG5P2	ENSG00000133136	protein_coding	chrX	110346103	110440372	GNG5P2	ENSG00000133136	processed_pseudogene	FALSE	Single-copy
GNL3L	ENSG00000130119	protein_coding	chrX	54530183	54621521	GNL3L	ENSG00000130119	protein_coding	FALSE	Single-copy
GPC3	ENSG00000147257	protein_coding	chrX	133535745	133985594	GPC3	ENSG00000147257	protein_coding	FALSE	Single-copy
GPC4	ENSG00000076716	protein_coding	chrX	133300103	133415489	GPC4	ENSG00000076716	protein_coding	FALSE	Single-copy
GPKOW	ENSG00000068394	protein_coding	chrX	49113407	49123735	GPKOW	ENSG00000068394	protein_coding	FALSE	Single-copy
GPM6B	ENSG00000046653	protein_coding	chrX	13770939	13938638	GPM6B	ENSG00000046653	protein_coding	FALSE	Single-copy
GPR101	ENSG00000165370	protein_coding	chrX	137023929	137033995	GPR101	ENSG00000165370	protein_coding	FALSE	Single-copy
GPR119	ENSG00000147262	protein_coding	chrX	130379449	130385674	GPR119	ENSG00000147262	protein_coding	FALSE	Single-copy
GPR143	ENSG00000101850	protein_coding	chrX	9725346	9786297	GPR143	ENSG00000101850	protein_coding	FALSE	Single-copy
GPR173	ENSG00000184194	protein_coding	chrX	53048789	53080615	GPR173	ENSG00000184194	protein_coding	FALSE	Single-copy
GPR174	ENSG00000147138	protein_coding	chrX	79144688	79175318	GPR174	ENSG00000147138	protein_coding	FALSE	Single-copy
GPR34	ENSG00000171659	protein_coding	chrX	41688973	41697275	GPR34	ENSG00000171659	protein_coding	FALSE	Single-copy
GPR50	ENSG00000102195	protein_coding	chrX	151176584	151181465	GPR50	ENSG00000102195	protein_coding	FALSE	Single-copy
GPR82	ENSG00000171657	protein_coding	chrX	41724181	41730130	GPR82	ENSG00000171657	protein_coding	FALSE	Single-copy
GPRASP1	ENSG00000198932	protein_coding	chrX	102651092	102659083	GPRASP1	ENSG00000198932	protein_coding	FALSE	Single-copy
GPRASP2	ENSG00000158301	protein_coding	chrX	102712445	102717733	GPRASP2	ENSG00000158301	protein_coding	FALSE	Single-copy
GRIA3	ENSG00000125675	protein_coding	chrX	123184153	123490915	GRIA3	ENSG00000125675	protein_coding	FALSE	Single-copy
GRIPAP1	ENSG00000068400	protein_coding	chrX	48973720	49002264	GRIPAP1	ENSG00000068400	protein_coding	FALSE	Single-copy
GRPR	ENSG00000126010	protein_coding	chrX	16123565	16153518	GRPR	ENSG00000126010	protein_coding	FALSE	Single-copy
GSPT2	ENSG00000189369	protein_coding	chrX	51743442	51746232	GSPT2	ENSG00000189369	protein_coding	FALSE	Single-copy
GTPBP6	ENSG00000178605	protein_coding	chrX	304529	318819	GTPBP6	ENSG00000178605	protein_coding	FALSE	PAR
GUCY2F	ENSG00000101890	protein_coding	chrX	109372906	109482086	GUCY2F	ENSG00000101890	protein_coding	FALSE	Single-copy
GYG2	ENSG00000056998	protein_coding	chrX	2828822	2882820	GYG2	ENSG00000056998	protein_coding	FALSE	Single-copy
H2AB1	ENSG00000274183	protein_coding	chrX	154884972	154885558	H2AFB1	ENSG00000274183	protein_coding	FALSE	Ampliconic
H2AB2	ENSG00000277858	protein_coding	chrX	155380709	155381299	H2AFB2	ENSG00000277858	protein_coding	FALSE	Ampliconic
H2AB3	ENSG00000277745	protein_coding	chrX	155459415	155460005	H2AFB3	ENSG00000277745	protein_coding	FALSE	Ampliconic
H2AL1RP	ENSG00000229674	protein_coding	chrX	37994252	37994918	AL121578.7	ENSG00000229674	processed_pseudogene	FALSE	Single-copy
H2AP	ENSG00000187516	protein_coding	chrX	37990779	37991314	HYPM	ENSG00000187516	protein_coding	FALSE	Single-copy
H2BW1	ENSG00000123569	protein_coding	chrX	104011147	104013708	H2BFWT	ENSG00000123569	protein_coding	FALSE	Multicopy
H2BW2	ENSG00000101812	protein_coding	chrX	104039956	104042454	H2BFM	ENSG00000101812	protein_coding	FALSE	Multicopy
HAUS7	ENSG00000213397	protein_coding	chrX	153447668	153495516	HAUS7	ENSG00000213397	protein_coding	FALSE	Single-copy
HCCS	ENSG00000004961	protein_coding	chrX	11111301	11123086	HCCS	ENSG00000004961	protein_coding	FALSE	Single-copy
HCFC1	ENSG00000172534	protein_coding	chrX	153947557	153971818	HCFC1	ENSG00000172534	protein_coding	FALSE	Single-copy
HDAC6	ENSG00000094631	protein_coding	chrX	48801377	48824982	HDAC6	ENSG00000094631	protein_coding	FALSE	Single-copy
HDAC8	ENSG00000147099	protein_coding	chrX	72329516	72573101	HDAC8	ENSG00000147099	protein_coding	FALSE	Single-copy
HDX	ENSG00000165259	protein_coding	chrX	84317874	84502479	HDX	ENSG00000165259	protein_coding	FALSE	Single-copy
HEPH	ENSG00000089472	protein_coding	chrX	66162671	66268867	HEPH	ENSG00000089472	protein_coding	FALSE	Single-copy
HMGB3	ENSG00000029993	protein_coding	chrX	150980509	150990771	HMGB3	ENSG00000029993	protein_coding	FALSE	Single-copy
HMGN5	ENSG00000198157	protein_coding	chrX	81113699	81201913	HMGN5	ENSG00000198157	protein_coding	FALSE	Single-copy
HNRNPH2	ENSG00000126945	protein_coding	chrX	101408222	101414133	HNRNPH2	ENSG00000126945	protein_coding	FALSE	Single-copy
HPRT1	ENSG00000165704	protein_coding	chrX	134460165	134520513	HPRT1	ENSG00000165704	protein_coding	FALSE	Single-copy
HS6ST2	ENSG00000171004	protein_coding	chrX	132626016	132961395	HS6ST2	ENSG00000171004	protein_coding	FALSE	Single-copy
HSD17B10	ENSG00000072506	protein_coding	chrX	53431258	53434370	HSD17B10	ENSG00000072506	protein_coding	FALSE	Single-copy
HSFX1	ENSG00000171116	protein_coding	chrX	149774068	149776867	HSFX1	ENSG00000171116	protein_coding	TRUE	Ampliconic
HSFX2	ENSG00000268738	protein_coding	chrX	149592512	149595314	HSFX2	ENSG00000268738	protein_coding	FALSE	Ampliconic
HSFX3	ENSG00000283697	protein_coding	chrX	149548210	149549924	NA	ENSG00000283697	NA	FALSE	Ampliconic
HSFX4	ENSG00000283463	protein_coding	chrX	149929573	149931287	NA	ENSG00000283463	NA	FALSE	Ampliconic
HTATSF1	ENSG00000102241	protein_coding	chrX	136497079	136512346	HTATSF1	ENSG00000102241	protein_coding	FALSE	Single-copy
HTR2C	ENSG00000147246	protein_coding	chrX	114584078	114910061	HTR2C	ENSG00000147246	protein_coding	FALSE	Single-copy
HUWE1	ENSG00000086758	protein_coding	chrX	53532096	53686728	HUWE1	ENSG00000086758	protein_coding	FALSE	Single-copy
IDH3G	ENSG00000067829	protein_coding	chrX	153785766	153794523	IDH3G	ENSG00000067829	protein_coding	FALSE	Single-copy
IDS	ENSG00000010404	protein_coding	chrX	149476988	149521096	IDS	ENSG00000010404	protein_coding	FALSE	Single-copy
IGBP1	ENSG00000089289	protein_coding	chrX	70133447	70166324	IGBP1	ENSG00000089289	protein_coding	FALSE	Single-copy
IGSF1	ENSG00000147255	protein_coding	chrX	131273506	131578899	IGSF1	ENSG00000147255	protein_coding	FALSE	Single-copy
IKBKG	ENSG00000269335	protein_coding	chrX	154541199	154565046	IKBKG	ENSG00000269335	protein_coding	FALSE	Single-copy
IL13RA1	ENSG00000131724	protein_coding	chrX	118727133	118794535	IL13RA1	ENSG00000131724	protein_coding	FALSE	Single-copy
IL13RA2	ENSG00000123496	protein_coding	chrX	115003975	115019977	IL13RA2	ENSG00000123496	protein_coding	FALSE	Single-copy
IL1RAPL1	ENSG00000169306	protein_coding	chrX	28587446	29956718	IL1RAPL1	ENSG00000169306	protein_coding	FALSE	Single-copy
IL1RAPL2	ENSG00000189108	protein_coding	chrX	104566199	105767829	IL1RAPL2	ENSG00000189108	protein_coding	FALSE	Single-copy
IL2RG	ENSG00000147168	protein_coding	chrX	71107404	71112108	IL2RG	ENSG00000147168	protein_coding	FALSE	Single-copy
IL3RA	ENSG00000185291	protein_coding	chrX	1336616	1382689	IL3RA	ENSG00000185291	protein_coding	FALSE	PAR
IL9R	ENSG00000124334	protein_coding	chrX	155997581	156010817	IL9R	ENSG00000124334	protein_coding	FALSE	PAR
INTS6L	ENSG00000165359	protein_coding	chrX	135520659	135582510	DDX26B	ENSG00000165359	protein_coding	FALSE	Ampliconic
IQSEC2	ENSG00000124313	protein_coding	chrX	53225828	53321350	IQSEC2	ENSG00000124313	protein_coding	FALSE	Single-copy
IRAK1	ENSG00000184216	protein_coding	chrX	154010506	154019902	IRAK1	ENSG00000184216	protein_coding	FALSE	Single-copy
IRS4	ENSG00000133124	protein_coding	chrX	108719946	108736563	IRS4	ENSG00000133124	protein_coding	FALSE	Single-copy
ITGB1BP2	ENSG00000147166	protein_coding	chrX	71301750	71305371	ITGB1BP2	ENSG00000147166	protein_coding	FALSE	Single-copy
ITIH6	ENSG00000102313	protein_coding	chrX	54748918	54798255	ITIH6	ENSG00000102313	protein_coding	FALSE	Single-copy
ITM2A	ENSG00000078596	protein_coding	chrX	79360384	79367667	ITM2A	ENSG00000078596	protein_coding	FALSE	Single-copy
JADE3	ENSG00000102221	protein_coding	chrX	46912276	47061242	JADE3	ENSG00000102221	protein_coding	FALSE	Single-copy
JPX	ENSG00000225470	lncRNA	chrX	73944182	74070408	JPX	ENSG00000225470	lincRNA	FALSE	Single-copy
KANTR	ENSG00000232593	protein_coding	chrX	53094145	53170914	KANTR	ENSG00000232593	lincRNA	FALSE	Single-copy
KCND1	ENSG00000102057	protein_coding	chrX	48961378	48971844	KCND1	ENSG00000102057	protein_coding	FALSE	Single-copy
KCNE5	ENSG00000176076	protein_coding	chrX	109623700	109625172	KCNE5	ENSG00000176076	protein_coding	FALSE	Single-copy
KDM5C	ENSG00000126012	protein_coding	chrX	53191321	53225422	KDM5C	ENSG00000126012	protein_coding	TRUE	Single-copy
KDM6A	ENSG00000147050	protein_coding	chrX	44873188	45112779	KDM6A	ENSG00000147050	protein_coding	TRUE	Single-copy
KIAA1210	ENSG00000250423	protein_coding	chrX	119078635	119150579	KIAA1210	ENSG00000250423	protein_coding	FALSE	Single-copy
KIF4A	ENSG00000090889	protein_coding	chrX	70290104	70420886	KIF4A	ENSG00000090889	protein_coding	FALSE	Single-copy
KLF8	ENSG00000102349	protein_coding	chrX	56232356	56291531	KLF8	ENSG00000102349	protein_coding	FALSE	Single-copy
KLHL13	ENSG00000003096	protein_coding	chrX	117897813	118117340	KLHL13	ENSG00000003096	protein_coding	FALSE	Single-copy
KLHL15	ENSG00000174010	protein_coding	chrX	23983720	24027186	KLHL15	ENSG00000174010	protein_coding	FALSE	Single-copy
KLHL34	ENSG00000185915	protein_coding	chrX	21654690	21658330	KLHL34	ENSG00000185915	protein_coding	FALSE	Single-copy
KLHL4	ENSG00000102271	protein_coding	chrX	87517409	87670050	KLHL4	ENSG00000102271	protein_coding	FALSE	Single-copy
KRBOX4	ENSG00000147121	protein_coding	chrX	46447292	46497422	KRBOX4	ENSG00000147121	protein_coding	FALSE	Multicopy
L1CAM	ENSG00000198910	protein_coding	chrX	153861514	153886173	L1CAM	ENSG00000198910	protein_coding	FALSE	Single-copy
LAGE3	ENSG00000196976	protein_coding	chrX	154477769	154479257	LAGE3	ENSG00000196976	protein_coding	FALSE	Single-copy
LAMP2	ENSG00000005893	protein_coding	chrX	120426148	120469365	LAMP2	ENSG00000005893	protein_coding	FALSE	Single-copy
LANCL3	ENSG00000147036	protein_coding	chrX	37571569	37684463	LANCL3	ENSG00000147036	protein_coding	FALSE	Single-copy
LAS1L	ENSG00000001497	protein_coding	chrX	65438549	65534810	LAS1L	ENSG00000001497	protein_coding	FALSE	Single-copy
LDOC1	ENSG00000182195	protein_coding	chrX	141111605	141177129	LDOC1	ENSG00000182195	protein_coding	FALSE	Single-copy
LHFPL1	ENSG00000182508	protein_coding	chrX	112630648	112680054	LHFPL1	ENSG00000182508	protein_coding	FALSE	Single-copy
LONRF3	ENSG00000175556	protein_coding	chrX	118974614	119018355	LONRF3	ENSG00000175556	protein_coding	FALSE	Single-copy
LPAR4	ENSG00000147145	protein_coding	chrX	78747709	78758714	LPAR4	ENSG00000147145	protein_coding	FALSE	Single-copy
LRCH2	ENSG00000130224	protein_coding	chrX	115110616	115234096	LRCH2	ENSG00000130224	protein_coding	FALSE	Single-copy
LUZP4	ENSG00000102021	protein_coding	chrX	115289715	115307563	LUZP4	ENSG00000102021	protein_coding	FALSE	Single-copy
MAGEA1	ENSG00000198681	protein_coding	chrX	153179284	153183880	MAGEA1	ENSG00000198681	protein_coding	FALSE	Multicopy
MAGEA10	ENSG00000124260	protein_coding	chrX	152133310	152138578	MAGEA10	ENSG00000124260	protein_coding	FALSE	Ampliconic
MAGEA11	ENSG00000185247	protein_coding	chrX	149688228	149717268	MAGEA11	ENSG00000185247	protein_coding	FALSE	Multicopy
MAGEA12	ENSG00000213401	protein_coding	chrX	152733757	152737669	MAGEA12	ENSG00000213401	protein_coding	FALSE	Multicopy
MAGEA2	ENSG00000268606	protein_coding	chrX	152749863	152753884	MAGEA2	ENSG00000268606	protein_coding	FALSE	Ampliconic
MAGEA2B	ENSG00000183305	protein_coding	chrX	152714586	152718607	MAGEA2B	ENSG00000183305	protein_coding	FALSE	Ampliconic
MAGEA3	ENSG00000221867	protein_coding	chrX	152698767	152702347	MAGEA3	ENSG00000221867	protein_coding	FALSE	Ampliconic
