Gene	gene_id	type	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	Human_NPY
FAM47B	ENSG00000189132	protein_coding	chrX	34942796	34944915	FAM47B	ENSG00000189132	protein_coding	FALSE
FAM47C	ENSG00000198173	protein_coding	chrX	37008366	37011664	FAM47C	ENSG00000198173	protein_coding	FALSE
FAM50A	ENSG00000071859	protein_coding	chrX	154444141	154450654	FAM50A	ENSG00000071859	protein_coding	FALSE
FAM9A	ENSG00000183304	protein_coding	chrX	8790795	8801383	FAM9A	ENSG00000183304	protein_coding	FALSE
FAM9B	ENSG00000177138	protein_coding	chrX	9024232	9295682	FAM9B	ENSG00000177138	protein_coding	FALSE
FAM9C	ENSG00000187268	protein_coding	chrX	13035617	13044682	FAM9C	ENSG00000187268	protein_coding	FALSE
FANCB	ENSG00000181544	protein_coding	chrX	14835961	14873069	FANCB	ENSG00000181544	protein_coding	FALSE
FATE1	ENSG00000147378	protein_coding	chrX	151716035	151723194	FATE1	ENSG00000147378	protein_coding	FALSE
FGD1	ENSG00000102302	protein_coding	chrX	54445454	54496234	FGD1	ENSG00000102302	protein_coding	FALSE
FGF13	ENSG00000129682	protein_coding	chrX	138614727	139222777	FGF13	ENSG00000129682	protein_coding	FALSE
FGF16	ENSG00000196468	protein_coding	chrX	77447389	77457278	FGF16	ENSG00000196468	protein_coding	FALSE
FHL1	ENSG00000022267	protein_coding	chrX	136146702	136211359	FHL1	ENSG00000022267	protein_coding	FALSE
FIRRE	ENSG00000213468	lncRNA	chrX	131688779	131830862	FIRRE	ENSG00000213468	lincRNA	FALSE
FLNA	ENSG00000196924	protein_coding	chrX	154348524	154374634	FLNA	ENSG00000196924	protein_coding	FALSE
FMR1	ENSG00000102081	protein_coding	chrX	147911919	147951125	FMR1	ENSG00000102081	protein_coding	FALSE
FMR1NB	ENSG00000176988	protein_coding	chrX	147981337	148026665	FMR1NB	ENSG00000176988	protein_coding	FALSE
FOXO4	ENSG00000184481	protein_coding	chrX	71095851	71103532	FOXO4	ENSG00000184481	protein_coding	FALSE
FOXP3	ENSG00000049768	protein_coding	chrX	49250438	49270477	FOXP3	ENSG00000049768	protein_coding	FALSE
FOXR2	ENSG00000189299	protein_coding	chrX	55623400	55626192	FOXR2	ENSG00000189299	protein_coding	FALSE
FRMD7	ENSG00000165694	protein_coding	chrX	132076990	132128020	FRMD7	ENSG00000165694	protein_coding	FALSE
FRMPD3	ENSG00000147234	protein_coding	chrX	107449652	107605255	FRMPD3	ENSG00000147234	protein_coding	FALSE
FRMPD4	ENSG00000169933	protein_coding	chrX	11822423	12724523	FRMPD4	ENSG00000169933	protein_coding	FALSE
FTHL17	ENSG00000132446	protein_coding	chrX	31071233	31072041	FTHL17	ENSG00000132446	protein_coding	FALSE
FTSJ1	ENSG00000068438	protein_coding	chrX	48476021	48486364	FTSJ1	ENSG00000068438	protein_coding	FALSE
FTX	ENSG00000230590	lncRNA	chrX	73940435	74293574	FTX	ENSG00000230590	lincRNA	FALSE
FUNDC1	ENSG00000069509	protein_coding	chrX	44523639	44542859	FUNDC1	ENSG00000069509	protein_coding	FALSE
FUNDC2	ENSG00000165775	protein_coding	chrX	155025980	155060304	FUNDC2	ENSG00000165775	protein_coding	FALSE
G6PD	ENSG00000160211	protein_coding	chrX	154531391	154547572	G6PD	ENSG00000160211	protein_coding	FALSE
GAB3	ENSG00000160219	protein_coding	chrX	154675249	154751583	GAB3	ENSG00000160219	protein_coding	FALSE
GABRA3	ENSG00000011677	protein_coding	chrX	152166234	152451315	GABRA3	ENSG00000011677	protein_coding	FALSE
GABRE	ENSG00000102287	protein_coding	chrX	151953124	151974680	GABRE	ENSG00000102287	protein_coding	FALSE
GABRQ	ENSG00000268089	protein_coding	chrX	152637895	152657542	GABRQ	ENSG00000268089	protein_coding	FALSE
GAGE1	ENSG00000205777	protein_coding	chrX	49599025	49608536	GAGE1	ENSG00000205777	protein_coding	FALSE
GAGE10	ENSG00000215274	protein_coding	chrX	49303669	49319844	GAGE10	ENSG00000215274	protein_coding	FALSE
GAGE12B	ENSG00000236737	protein_coding	chrX	49529869	49529985	GAGE12B	ENSG00000236737	protein_coding	FALSE
GAGE12C	ENSG00000237671	protein_coding	chrX	49532211	49539538	GAGE12C	ENSG00000237671	protein_coding	FALSE
GAGE12D	ENSG00000227488	protein_coding	chrX	49541767	49549094	GAGE12D	ENSG00000227488	protein_coding	FALSE
GAGE12E	ENSG00000216649	protein_coding	chrX	49551316	49558649	GAGE12E	ENSG00000216649	protein_coding	FALSE
GAGE12F	ENSG00000236362	protein_coding	chrX	49551278	49568218	GAGE12F	ENSG00000236362	protein_coding	FALSE
GAGE12G	ENSG00000215269	protein_coding	chrX	49570434	49577754	GAGE12G	ENSG00000215269	protein_coding	FALSE
GAGE12H	ENSG00000224902	protein_coding	chrX	49579983	49587301	GAGE12H	ENSG00000224902	protein_coding	FALSE
GAGE12J	ENSG00000224659	protein_coding	chrX	49322057	49329384	GAGE12J	ENSG00000224659	protein_coding	FALSE
GAGE13	ENSG00000274274	protein_coding	chrX	49331616	49338952	GAGE13	ENSG00000274274	protein_coding	FALSE
GAGE2A	ENSG00000189064	protein_coding	chrX	49589529	49596827	GAGE2A	ENSG00000189064	protein_coding	FALSE
GAGE2E	ENSG00000275113	protein_coding	chrX	49341192	49345922	GAGE2E	ENSG00000275113	protein_coding	FALSE
GATA1	ENSG00000102145	protein_coding	chrX	48786562	48794311	GATA1	ENSG00000102145	protein_coding	FALSE
GCNA	ENSG00000147174	protein_coding	chrX	71578437	71613583	ACRC	ENSG00000147174	protein_coding	FALSE
GDI1	ENSG00000203879	protein_coding	chrX	154436913	154443467	GDI1	ENSG00000203879	protein_coding	FALSE
GDPD2	ENSG00000130055	protein_coding	chrX	70423031	70433390	GDPD2	ENSG00000130055	protein_coding	FALSE
GEMIN8	ENSG00000046647	protein_coding	chrX	14006726	14029893	GEMIN8	ENSG00000046647	protein_coding	FALSE
GJB1	ENSG00000169562	protein_coding	chrX	71212811	71225516	GJB1	ENSG00000169562	protein_coding	FALSE
GK	ENSG00000198814	protein_coding	chrX	30653359	30731462	GK	ENSG00000198814	protein_coding	FALSE
GLA	ENSG00000102393	protein_coding	chrX	101393273	101408012	GLA	ENSG00000102393	protein_coding	FALSE
GLOD5	ENSG00000171433	protein_coding	chrX	48761747	48773648	GLOD5	ENSG00000171433	protein_coding	FALSE
GLRA2	ENSG00000101958	protein_coding	chrX	14529298	14731812	GLRA2	ENSG00000101958	protein_coding	FALSE
GLUD2	ENSG00000182890	protein_coding	chrX	121047610	121050094	GLUD2	ENSG00000182890	protein_coding	FALSE
GNG5P2	ENSG00000133136	protein_coding	chrX	110346103	110440372	GNG5P2	ENSG00000133136	processed_pseudogene	FALSE
GNL3L	ENSG00000130119	protein_coding	chrX	54530183	54621521	GNL3L	ENSG00000130119	protein_coding	FALSE
GPC3	ENSG00000147257	protein_coding	chrX	133535745	133985594	GPC3	ENSG00000147257	protein_coding	FALSE
GPC4	ENSG00000076716	protein_coding	chrX	133300103	133415489	GPC4	ENSG00000076716	protein_coding	FALSE
GPKOW	ENSG00000068394	protein_coding	chrX	49113407	49123735	GPKOW	ENSG00000068394	protein_coding	FALSE
GPM6B	ENSG00000046653	protein_coding	chrX	13770939	13938638	GPM6B	ENSG00000046653	protein_coding	FALSE
GPR101	ENSG00000165370	protein_coding	chrX	137023929	137033995	GPR101	ENSG00000165370	protein_coding	FALSE
GPR119	ENSG00000147262	protein_coding	chrX	130379449	130385674	GPR119	ENSG00000147262	protein_coding	FALSE
GPR143	ENSG00000101850	protein_coding	chrX	9725346	9786297	GPR143	ENSG00000101850	protein_coding	FALSE
GPR173	ENSG00000184194	protein_coding	chrX	53048789	53080615	GPR173	ENSG00000184194	protein_coding	FALSE
GPR174	ENSG00000147138	protein_coding	chrX	79144688	79175318	GPR174	ENSG00000147138	protein_coding	FALSE
GPR34	ENSG00000171659	protein_coding	chrX	41688973	41697275	GPR34	ENSG00000171659	protein_coding	FALSE
GPR50	ENSG00000102195	protein_coding	chrX	151176584	151181465	GPR50	ENSG00000102195	protein_coding	FALSE
GPR82	ENSG00000171657	protein_coding	chrX	41724181	41730130	GPR82	ENSG00000171657	protein_coding	FALSE
GPRASP1	ENSG00000198932	protein_coding	chrX	102651092	102659083	GPRASP1	ENSG00000198932	protein_coding	FALSE
GPRASP2	ENSG00000158301	protein_coding	chrX	102712445	102717733	GPRASP2	ENSG00000158301	protein_coding	FALSE
GRIA3	ENSG00000125675	protein_coding	chrX	123184153	123490915	GRIA3	ENSG00000125675	protein_coding	FALSE
GRIPAP1	ENSG00000068400	protein_coding	chrX	48973720	49002264	GRIPAP1	ENSG00000068400	protein_coding	FALSE
GRPR	ENSG00000126010	protein_coding	chrX	16123565	16153518	GRPR	ENSG00000126010	protein_coding	FALSE
GSPT2	ENSG00000189369	protein_coding	chrX	51743442	51746232	GSPT2	ENSG00000189369	protein_coding	FALSE
GTPBP6	ENSG00000178605	protein_coding	chrX	304529	318819	GTPBP6	ENSG00000178605	protein_coding	FALSE
GUCY2F	ENSG00000101890	protein_coding	chrX	109372906	109482086	GUCY2F	ENSG00000101890	protein_coding	FALSE
GYG2	ENSG00000056998	protein_coding	chrX	2828822	2882820	GYG2	ENSG00000056998	protein_coding	FALSE
H2AB1	ENSG00000274183	protein_coding	chrX	154884972	154885558	H2AFB1	ENSG00000274183	protein_coding	FALSE
H2AB2	ENSG00000277858	protein_coding	chrX	155380709	155381299	H2AFB2	ENSG00000277858	protein_coding	FALSE
H2AB3	ENSG00000277745	protein_coding	chrX	155459415	155460005	H2AFB3	ENSG00000277745	protein_coding	FALSE
H2AL1RP	ENSG00000229674	protein_coding	chrX	37994252	37994918	AL121578.7	ENSG00000229674	processed_pseudogene	FALSE
H2AP	ENSG00000187516	protein_coding	chrX	37990779	37991314	HYPM	ENSG00000187516	protein_coding	FALSE
H2BW1	ENSG00000123569	protein_coding	chrX	104011147	104013708	H2BFWT	ENSG00000123569	protein_coding	FALSE
H2BW2	ENSG00000101812	protein_coding	chrX	104039956	104042454	H2BFM	ENSG00000101812	protein_coding	FALSE
HAUS7	ENSG00000213397	protein_coding	chrX	153447668	153495516	HAUS7	ENSG00000213397	protein_coding	FALSE
HCCS	ENSG00000004961	protein_coding	chrX	11111301	11123086	HCCS	ENSG00000004961	protein_coding	FALSE
HCFC1	ENSG00000172534	protein_coding	chrX	153947557	153971818	HCFC1	ENSG00000172534	protein_coding	FALSE
HDAC6	ENSG00000094631	protein_coding	chrX	48801377	48824982	HDAC6	ENSG00000094631	protein_coding	FALSE
HDAC8	ENSG00000147099	protein_coding	chrX	72329516	72573101	HDAC8	ENSG00000147099	protein_coding	FALSE
HDX	ENSG00000165259	protein_coding	chrX	84317874	84502479	HDX	ENSG00000165259	protein_coding	FALSE
HEPH	ENSG00000089472	protein_coding	chrX	66162671	66268867	HEPH	ENSG00000089472	protein_coding	FALSE
HMGB3	ENSG00000029993	protein_coding	chrX	150980509	150990771	HMGB3	ENSG00000029993	protein_coding	FALSE
HMGN5	ENSG00000198157	protein_coding	chrX	81113699	81201913	HMGN5	ENSG00000198157	protein_coding	FALSE
HNRNPH2	ENSG00000126945	protein_coding	chrX	101408222	101414133	HNRNPH2	ENSG00000126945	protein_coding	FALSE
HPRT1	ENSG00000165704	protein_coding	chrX	134460165	134520513	HPRT1	ENSG00000165704	protein_coding	FALSE
HS6ST2	ENSG00000171004	protein_coding	chrX	132626016	132961395	HS6ST2	ENSG00000171004	protein_coding	FALSE
HSD17B10	ENSG00000072506	protein_coding	chrX	53431258	53434370	HSD17B10	ENSG00000072506	protein_coding	FALSE
HSFX1	ENSG00000171116	protein_coding	chrX	149774068	149776867	HSFX1	ENSG00000171116	protein_coding	TRUE
HSFX2	ENSG00000268738	protein_coding	chrX	149592512	149595314	HSFX2	ENSG00000268738	protein_coding	FALSE
HSFX3	ENSG00000283697	protein_coding	chrX	149548210	149549924	NA	ENSG00000283697	NA	FALSE
HSFX4	ENSG00000283463	protein_coding	chrX	149929573	149931287	NA	ENSG00000283463	NA	FALSE
HTATSF1	ENSG00000102241	protein_coding	chrX	136497079	136512346	HTATSF1	ENSG00000102241	protein_coding	FALSE
HTR2C	ENSG00000147246	protein_coding	chrX	114584078	114910061	HTR2C	ENSG00000147246	protein_coding	FALSE
HUWE1	ENSG00000086758	protein_coding	chrX	53532096	53686728	HUWE1	ENSG00000086758	protein_coding	FALSE
IDH3G	ENSG00000067829	protein_coding	chrX	153785766	153794523	IDH3G	ENSG00000067829	protein_coding	FALSE
IDS	ENSG00000010404	protein_coding	chrX	149476988	149521096	IDS	ENSG00000010404	protein_coding	FALSE
IGBP1	ENSG00000089289	protein_coding	chrX	70133447	70166324	IGBP1	ENSG00000089289	protein_coding	FALSE
IGSF1	ENSG00000147255	protein_coding	chrX	131273506	131578899	IGSF1	ENSG00000147255	protein_coding	FALSE
IKBKG	ENSG00000269335	protein_coding	chrX	154541199	154565046	IKBKG	ENSG00000269335	protein_coding	FALSE
IL13RA1	ENSG00000131724	protein_coding	chrX	118727133	118794535	IL13RA1	ENSG00000131724	protein_coding	FALSE
IL13RA2	ENSG00000123496	protein_coding	chrX	115003975	115019977	IL13RA2	ENSG00000123496	protein_coding	FALSE
IL1RAPL1	ENSG00000169306	protein_coding	chrX	28587446	29956718	IL1RAPL1	ENSG00000169306	protein_coding	FALSE
IL1RAPL2	ENSG00000189108	protein_coding	chrX	104566199	105767829	IL1RAPL2	ENSG00000189108	protein_coding	FALSE
IL2RG	ENSG00000147168	protein_coding	chrX	71107404	71112108	IL2RG	ENSG00000147168	protein_coding	FALSE
IL3RA	ENSG00000185291	protein_coding	chrX	1336616	1382689	IL3RA	ENSG00000185291	protein_coding	FALSE
IL9R	ENSG00000124334	protein_coding	chrX	155997581	156010817	IL9R	ENSG00000124334	protein_coding	FALSE
INTS6L	ENSG00000165359	protein_coding	chrX	135520659	135582510	DDX26B	ENSG00000165359	protein_coding	FALSE
IQSEC2	ENSG00000124313	protein_coding	chrX	53225828	53321350	IQSEC2	ENSG00000124313	protein_coding	FALSE
IRAK1	ENSG00000184216	protein_coding	chrX	154010506	154019902	IRAK1	ENSG00000184216	protein_coding	FALSE
IRS4	ENSG00000133124	protein_coding	chrX	108719946	108736563	IRS4	ENSG00000133124	protein_coding	FALSE
ITGB1BP2	ENSG00000147166	protein_coding	chrX	71301750	71305371	ITGB1BP2	ENSG00000147166	protein_coding	FALSE
ITIH6	ENSG00000102313	protein_coding	chrX	54748918	54798255	ITIH6	ENSG00000102313	protein_coding	FALSE
ITM2A	ENSG00000078596	protein_coding	chrX	79360384	79367667	ITM2A	ENSG00000078596	protein_coding	FALSE
JADE3	ENSG00000102221	protein_coding	chrX	46912276	47061242	JADE3	ENSG00000102221	protein_coding	FALSE
JPX	ENSG00000225470	lncRNA	chrX	73944182	74070408	JPX	ENSG00000225470	lincRNA	FALSE
KANTR	ENSG00000232593	protein_coding	chrX	53094145	53170914	KANTR	ENSG00000232593	lincRNA	FALSE
KCND1	ENSG00000102057	protein_coding	chrX	48961378	48971844	KCND1	ENSG00000102057	protein_coding	FALSE
KCNE5	ENSG00000176076	protein_coding	chrX	109623700	109625172	KCNE5	ENSG00000176076	protein_coding	FALSE
KDM5C	ENSG00000126012	protein_coding	chrX	53191321	53225422	KDM5C	ENSG00000126012	protein_coding	TRUE
KDM6A	ENSG00000147050	protein_coding	chrX	44873188	45112779	KDM6A	ENSG00000147050	protein_coding	TRUE
KIAA1210	ENSG00000250423	protein_coding	chrX	119078635	119150579	KIAA1210	ENSG00000250423	protein_coding	FALSE
KIF4A	ENSG00000090889	protein_coding	chrX	70290104	70420886	KIF4A	ENSG00000090889	protein_coding	FALSE
KLF8	ENSG00000102349	protein_coding	chrX	56232356	56291531	KLF8	ENSG00000102349	protein_coding	FALSE
KLHL13	ENSG00000003096	protein_coding	chrX	117897813	118117340	KLHL13	ENSG00000003096	protein_coding	FALSE
KLHL15	ENSG00000174010	protein_coding	chrX	23983720	24027186	KLHL15	ENSG00000174010	protein_coding	FALSE
KLHL34	ENSG00000185915	protein_coding	chrX	21654690	21658330	KLHL34	ENSG00000185915	protein_coding	FALSE
KLHL4	ENSG00000102271	protein_coding	chrX	87517409	87670050	KLHL4	ENSG00000102271	protein_coding	FALSE
KRBOX4	ENSG00000147121	protein_coding	chrX	46447292	46497422	KRBOX4	ENSG00000147121	protein_coding	FALSE
L1CAM	ENSG00000198910	protein_coding	chrX	153861514	153886173	L1CAM	ENSG00000198910	protein_coding	FALSE
LAGE3	ENSG00000196976	protein_coding	chrX	154477769	154479257	LAGE3	ENSG00000196976	protein_coding	FALSE
LAMP2	ENSG00000005893	protein_coding	chrX	120426148	120469365	LAMP2	ENSG00000005893	protein_coding	FALSE
LANCL3	ENSG00000147036	protein_coding	chrX	37571569	37684463	LANCL3	ENSG00000147036	protein_coding	FALSE
LAS1L	ENSG00000001497	protein_coding	chrX	65438549	65534810	LAS1L	ENSG00000001497	protein_coding	FALSE
LDOC1	ENSG00000182195	protein_coding	chrX	141111605	141177129	LDOC1	ENSG00000182195	protein_coding	FALSE
LHFPL1	ENSG00000182508	protein_coding	chrX	112630648	112680054	LHFPL1	ENSG00000182508	protein_coding	FALSE
LONRF3	ENSG00000175556	protein_coding	chrX	118974614	119018355	LONRF3	ENSG00000175556	protein_coding	FALSE
LPAR4	ENSG00000147145	protein_coding	chrX	78747709	78758714	LPAR4	ENSG00000147145	protein_coding	FALSE
LRCH2	ENSG00000130224	protein_coding	chrX	115110616	115234096	LRCH2	ENSG00000130224	protein_coding	FALSE
LUZP4	ENSG00000102021	protein_coding	chrX	115289715	115307563	LUZP4	ENSG00000102021	protein_coding	FALSE
MAGEA1	ENSG00000198681	protein_coding	chrX	153179284	153183880	MAGEA1	ENSG00000198681	protein_coding	FALSE
MAGEA10	ENSG00000124260	protein_coding	chrX	152133310	152138578	MAGEA10	ENSG00000124260	protein_coding	FALSE
MAGEA11	ENSG00000185247	protein_coding	chrX	149688228	149717268	MAGEA11	ENSG00000185247	protein_coding	FALSE
MAGEA12	ENSG00000213401	protein_coding	chrX	152733757	152737669	MAGEA12	ENSG00000213401	protein_coding	FALSE
MAGEA2	ENSG00000268606	protein_coding	chrX	152749863	152753884	MAGEA2	ENSG00000268606	protein_coding	FALSE
MAGEA2B	ENSG00000183305	protein_coding	chrX	152714586	152718607	MAGEA2B	ENSG00000183305	protein_coding	FALSE
MAGEA3	ENSG00000221867	protein_coding	chrX	152698767	152702347	MAGEA3	ENSG00000221867	protein_coding	FALSE
MAGEA4	ENSG00000147381	protein_coding	chrX	151912495	151925171	MAGEA4	ENSG00000147381	protein_coding	FALSE
MAGEA6	ENSG00000197172	protein_coding	chrX	152766136	152769747	MAGEA6	ENSG00000197172	protein_coding	FALSE
MAGEA8	ENSG00000156009	protein_coding	chrX	149881141	149885835	MAGEA8	ENSG00000156009	protein_coding	FALSE
MAGEA9	ENSG00000123584	protein_coding	chrX	149781930	149787737	MAGEA9	ENSG00000123584	protein_coding	FALSE
MAGEA9B	ENSG00000267978	protein_coding	chrX	149581653	149587459	MAGEA9B	ENSG00000267978	protein_coding	FALSE
MAGEB1	ENSG00000214107	protein_coding	chrX	30243715	30252040	MAGEB1	ENSG00000214107	protein_coding	FALSE
MAGEB10	ENSG00000177689	protein_coding	chrX	27807990	27823014	MAGEB10	ENSG00000177689	protein_coding	FALSE
MAGEB16	ENSG00000189023	protein_coding	chrX	35798342	35803735	MAGEB16	ENSG00000189023	protein_coding	FALSE
MAGEB17	ENSG00000182798	protein_coding	chrX	16167481	16171464	MAGEB17	ENSG00000182798	protein_coding	FALSE
MAGEB18	ENSG00000176774	protein_coding	chrX	26138343	26140736	MAGEB18	ENSG00000176774	protein_coding	FALSE
MAGEB2	ENSG00000099399	protein_coding	chrX	30215563	30220089	MAGEB2	ENSG00000099399	protein_coding	FALSE
MAGEB3	ENSG00000198798	protein_coding	chrX	30230657	30237495	MAGEB3	ENSG00000198798	protein_coding	FALSE
MAGEB4	ENSG00000120289	protein_coding	chrX	30242000	30244187	MAGEB4	ENSG00000120289	protein_coding	FALSE
MAGEB5	ENSG00000188408	protein_coding	chrX	26216169	26218270	MAGEB5	ENSG00000188408	protein_coding	FALSE
MAGEB6	ENSG00000176746	protein_coding	chrX	26192440	26195646	MAGEB6	ENSG00000176746	protein_coding	FALSE
MAGEB6B	ENSG00000232030	protein_coding	chrX	26160601	26161824	MAGEB6P1	ENSG00000232030	protein_coding	FALSE
MAGEC1	ENSG00000155495	protein_coding	chrX	141903894	141909374	MAGEC1	ENSG00000155495	protein_coding	FALSE
MAGEC2	ENSG00000046774	protein_coding	chrX	142202342	142205290	MAGEC2	ENSG00000046774	protein_coding	FALSE
MAGEC3	ENSG00000165509	protein_coding	chrX	141838316	141897832	MAGEC3	ENSG00000165509	protein_coding	FALSE
MAGED1	ENSG00000179222	protein_coding	chrX	51803007	51902354	MAGED1	ENSG00000179222	protein_coding	FALSE
MAGED2	ENSG00000102316	protein_coding	chrX	54807599	54816015	MAGED2	ENSG00000102316	protein_coding	FALSE
MAGED4	ENSG00000154545	protein_coding	chrX	52184876	52192268	MAGED4	ENSG00000154545	protein_coding	FALSE
MAGED4B	ENSG00000187243	protein_coding	chrX	52061827	52069248	MAGED4B	ENSG00000187243	protein_coding	FALSE
MAGEE1	ENSG00000198934	protein_coding	chrX	76427710	76431342	MAGEE1	ENSG00000198934	protein_coding	FALSE
MAGEE2	ENSG00000186675	protein_coding	chrX	75782987	75785254	MAGEE2	ENSG00000186675	protein_coding	FALSE
MAGEH1	ENSG00000187601	protein_coding	chrX	55452127	55453566	MAGEH1	ENSG00000187601	protein_coding	FALSE
MAGIX	ENSG00000269313	protein_coding	chrX	49162564	49168483	MAGIX	ENSG00000269313	protein_coding	FALSE
MAGT1	ENSG00000102158	protein_coding	chrX	77825747	77895593	MAGT1	ENSG00000102158	protein_coding	FALSE
MAMLD1	ENSG00000013619	protein_coding	chrX	150361422	150514178	MAMLD1	ENSG00000013619	protein_coding	FALSE
MAOA	ENSG00000189221	protein_coding	chrX	43654907	43746824	MAOA	ENSG00000189221	protein_coding	FALSE
MAOB	ENSG00000069535	protein_coding	chrX	43766610	43882450	MAOB	ENSG00000069535	protein_coding	FALSE
MAP3K15	ENSG00000180815	protein_coding	chrX	19360056	19515508	MAP3K15	ENSG00000180815	protein_coding	FALSE
MAP7D2	ENSG00000184368	protein_coding	chrX	20006713	20116907	MAP7D2	ENSG00000184368	protein_coding	FALSE
MAP7D3	ENSG00000129680	protein_coding	chrX	136213220	136256482	MAP7D3	ENSG00000129680	protein_coding	FALSE
MBNL3	ENSG00000076770	protein_coding	chrX	132369317	132489968	MBNL3	ENSG00000076770	protein_coding	FALSE
MBTPS2	ENSG00000012174	protein_coding	chrX	21839617	21885423	MBTPS2	ENSG00000012174	protein_coding	FALSE
MCF2	ENSG00000101977	protein_coding	chrX	139581770	139708227	MCF2	ENSG00000101977	protein_coding	FALSE
MCTS1	ENSG00000232119	protein_coding	chrX	120594010	120621159	MCTS1	ENSG00000232119	protein_coding	FALSE
MECP2	ENSG00000169057	protein_coding	chrX	154021573	154137103	MECP2	ENSG00000169057	protein_coding	FALSE
MED12	ENSG00000184634	protein_coding	chrX	71118556	71142454	MED12	ENSG00000184634	protein_coding	FALSE
MED14	ENSG00000180182	protein_coding	chrX	40648305	40735858	MED14	ENSG00000180182	protein_coding	FALSE
MID1	ENSG00000101871	protein_coding	chrX	10445310	10833654	MID1	ENSG00000101871	protein_coding	FALSE
MID1IP1	ENSG00000165175	protein_coding	chrX	38801432	38806537	MID1IP1	ENSG00000165175	protein_coding	FALSE
MID2	ENSG00000080561	protein_coding	chrX	107825755	107931637	MID2	ENSG00000080561	protein_coding	FALSE
MMGT1	ENSG00000169446	protein_coding	chrX	135960588	135974029	MMGT1	ENSG00000169446	protein_coding	FALSE
MORC4	ENSG00000133131	protein_coding	chrX	106813871	107000212	MORC4	ENSG00000133131	protein_coding	FALSE
MORF4L2	ENSG00000123562	protein_coding	chrX	103675496	103688158	MORF4L2	ENSG00000123562	protein_coding	FALSE
MOSPD1	ENSG00000101928	protein_coding	chrX	134887632	134915257	MOSPD1	ENSG00000101928	protein_coding	FALSE
MOSPD2	ENSG00000130150	protein_coding	chrX	14873421	14922327	MOSPD2	ENSG00000130150	protein_coding	FALSE
MPC1L	ENSG00000238205	protein_coding	chrX	40623428	40624136	MPC1L	ENSG00000238205	processed_pseudogene	FALSE
MPP1	ENSG00000130830	protein_coding	chrX	154778684	154821007	MPP1	ENSG00000130830	protein_coding	FALSE
MSL3	ENSG00000005302	protein_coding	chrX	11758159	11775772	MSL3	ENSG00000005302	protein_coding	FALSE
MSN	ENSG00000147065	protein_coding	chrX	65588377	65741931	MSN	ENSG00000147065	protein_coding	FALSE
MTCP1	ENSG00000214827	protein_coding	chrX	155064034	155147937	MTCP1	ENSG00000214827	protein_coding	FALSE
MTM1	ENSG00000171100	protein_coding	chrX	150568621	150673143	MTM1	ENSG00000171100	protein_coding	FALSE
MTMR1	ENSG00000063601	protein_coding	chrX	150692971	150765108	MTMR1	ENSG00000063601	protein_coding	FALSE
MTMR8	ENSG00000102043	protein_coding	chrX	64268081	64395452	MTMR8	ENSG00000102043	protein_coding	FALSE
MTRNR2L10	ENSG00000256045	protein_coding	chrX	55181392	55182442	MTRNR2L10	ENSG00000256045	protein_coding	FALSE
MXRA5	ENSG00000101825	protein_coding	chrX	3308565	3346652	MXRA5	ENSG00000101825	protein_coding	FALSE
NAA10	ENSG00000102030	protein_coding	chrX	153929225	153935080	NAA10	ENSG00000102030	protein_coding	FALSE
NAP1L2	ENSG00000186462	protein_coding	chrX	73212299	73214851	NAP1L2	ENSG00000186462	protein_coding	FALSE
NAP1L3	ENSG00000186310	protein_coding	chrX	93670930	93673578	NAP1L3	ENSG00000186310	protein_coding	FALSE
NBDY	ENSG00000204272	protein_coding	chrX	56729241	56819179	LINC01420	ENSG00000204272	protein_coding	FALSE
NCBP2L	ENSG00000170935	protein_coding	chrX	107774899	107795829	NCBP2L	ENSG00000170935	protein_coding	FALSE
NDP	ENSG00000124479	protein_coding	chrX	43948776	43973395	NDP	ENSG00000124479	protein_coding	FALSE
NDUFA1	ENSG00000125356	protein_coding	chrX	119871832	119876662	NDUFA1	ENSG00000125356	protein_coding	FALSE
NDUFB11	ENSG00000147123	protein_coding	chrX	47142216	47145038	NDUFB11	ENSG00000147123	protein_coding	FALSE
NEXMIF	ENSG00000050030	protein_coding	chrX	74732856	74925472	KIAA2022	ENSG00000050030	protein_coding	FALSE
NHS	ENSG00000188158	protein_coding	chrX	17375200	17735994	NHS	ENSG00000188158	protein_coding	FALSE
NHSL2	ENSG00000204131	protein_coding	chrX	71910818	72161750	NHSL2	ENSG00000204131	protein_coding	FALSE
NKAP	ENSG00000101882	protein_coding	chrX	119920672	119943751	NKAP	ENSG00000101882	protein_coding	FALSE
NKRF	ENSG00000186416	protein_coding	chrX	119588337	119606443	NKRF	ENSG00000186416	protein_coding	FALSE
NLGN3	ENSG00000196338	protein_coding	chrX	71144831	71171201	NLGN3	ENSG00000196338	protein_coding	FALSE
NLGN4X	ENSG00000146938	protein_coding	chrX	5840637	6228867	NLGN4X	ENSG00000146938	protein_coding	TRUE
NLRP2B	ENSG00000215174	protein_coding	chrX	57677067	57680260	NLRP2P	ENSG00000215174	protein_coding	FALSE
NONO	ENSG00000147140	protein_coding	chrX	71254814	71301522	NONO	ENSG00000147140	protein_coding	FALSE
NOX1	ENSG00000007952	protein_coding	chrX	100843324	100874359	NOX1	ENSG00000007952	protein_coding	FALSE
